"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Charity Commission","Charity Commission","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Statistics","Outside London","5","5","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","5","5","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Communications","Outside London","25","25","39420","40680"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","Outside London","185","170","26170","25610"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","255","250","40970","38000"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Finance","Outside London","80","70","33100","29710"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","60","55","37890","34840"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Legal","Outside London","10","10","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","480","435","26160","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Other","Outside London","20","20","49490","40740"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Policy","Outside London","35","35","44490","40680"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","25","25","43170","44460"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Property","Outside London","10","10","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","Outside London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Commercial","London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Communications","London","25","25","49360","43000"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","London","15","15","50470","44000"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","London","60","60","57010","56590"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Economics","London","95","85","65980","60600"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Economics","Outside London","15","15","56460","55130"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Human Resources","London","30","30","50080","43960"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","London","30","30","57490","55950"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Legal","London","125","125","72490","73510"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Legal","Outside London","15","15","72890","75300"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Policy","London","20","20","65980","60950"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","London","370","360","62690","58070"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","Outside London","65","60","58780","56190"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","Outside London","325","300","27660","25830"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","Commercial","London","10","10","43630","40860"
"In post","2023","Crown Commercial Service","Cabinet Office","Commercial","Outside London","325","315","37270","39860"
"In post","2023","Crown Commercial Service","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","Communications","Outside London","15","15","41220","39860"
"In post","2023","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","London","25","25","56540","57000"
"In post","2023","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","Outside London","100","100","43580","40450"
"In post","2023","Crown Commercial Service","Cabinet Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","Finance","Outside London","35","35","49820","43060"
"In post","2023","Crown Commercial Service","Cabinet Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","Human Resources","Outside London","30","30","42700","40720"
"In post","2023","Crown Commercial Service","Cabinet Office","Operational Delivery","London","20","20","58240","57590"
"In post","2023","Crown Commercial Service","Cabinet Office","Operational Delivery","Outside London","155","155","40410","40450"
"In post","2023","Crown Commercial Service","Cabinet Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","Policy","Outside London","15","15","47000","42770"
"In post","2023","Crown Commercial Service","Cabinet Office","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","Project Delivery","Outside London","10","10","48850","52840"
"In post","2023","Crown Commercial Service","Cabinet Office","Property","Outside London","5","5","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","Outside London","10","10","40570","35420"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","Outside London","65","65","44710","39730"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","Outside London","25","25","42120","42540"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","Outside London","45","45","38100","33920"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","Outside London","25","25","37890","31540"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","Outside London","700","665","62400","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","Outside London","1560","1465","29510","28700"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","Outside London","20","20","59280","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Commercial","London","10","10","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Commercial","Outside London","25","25","42430","38940"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Communications","London","40","40","44610","40540"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Communications","Outside London","30","25","38210","39710"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","London","25","25","48920","42410"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","Outside London","100","100","40910","38940"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Finance","London","45","40","34840","30560"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Finance","Outside London","140","130","29870","27400"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Human Resources","London","50","50","45780","40540"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Human Resources","Outside London","120","115","37130","32520"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","London","25","25","43300","34120"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","Outside London","35","35","38420","38940"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Legal","London","800","755","60950","62140"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Legal","Outside London","2580","2395","54350","55170"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
