"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","Heterosexual / straight","30","30","36120","35740"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","London","SEO/HEO","Heterosexual / straight","285","285","32590","32960"
"In post","2023","Central Civil Service Fast Stream","London","SEO/HEO","LGBO","45","45","32030","32960"
"In post","2023","Central Civil Service Fast Stream","London","SEO/HEO","Undeclared","35","35","32480","32960"
"In post","2023","Central Civil Service Fast Stream","London","SEO/HEO","Unknown","825","825","30000","30130"
"In post","2023","Central Civil Service Fast Stream","Outside London","SEO/HEO","Heterosexual / straight","95","90","32330","32960"
"In post","2023","Central Civil Service Fast Stream","Outside London","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Outside London","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Outside London","SEO/HEO","Unknown","335","335","29930","28840"
"In post","2023","Central Civil Service Fast Stream","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Heterosexual / straight","55","50","26000","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Unknown","80","70","25990","25920"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","Heterosexual / straight","60","55","52880","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","Unknown","65","65","52830","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
