"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","No function","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of Rail and Road","G6/G7","15","[c]","64700","61760"
"Leaver CS","2023","No function","Office of Rail and Road","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of the Public Guardian","AA/AO","80","[c]","21490","21780"
"Leaver CS","2023","No function","Office of the Public Guardian","EO","15","[c]","25610","25830"
"Leaver CS","2023","No function","Office of the Public Guardian","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Planning Inspectorate","AA/AO","15","[c]","20940","21960"
"Leaver CS","2023","No function","Planning Inspectorate","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Planning Inspectorate","G6/G7","25","[c]","60290","60050"
"Leaver CS","2023","No function","Planning Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Planning Inspectorate","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Registers of Scotland","AA/AO","10","[c]","25730","25730"
"Leaver CS","2023","No function","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Registers of Scotland","SEO/HEO","15","[c]","39550","38650"
"Leaver CS","2023","No function","Scottish Courts and Tribunals Service","AA/AO","105","[c]","23360","23190"
"Leaver CS","2023","No function","Scottish Courts and Tribunals Service","EO","20","[c]","31180","31970"
"Leaver CS","2023","No function","Scottish Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Scottish Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Scottish Courts and Tribunals Service","SEO/HEO","10","[c]","40280","38170"
"Leaver CS","2023","No function","Scottish Prison Service","AA/AO","130","[c]","25690","24710"
"Leaver CS","2023","No function","Scottish Prison Service","EO","165","[c]","36250","37060"
"Leaver CS","2023","No function","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Scottish Prison Service","SEO/HEO","35","[c]","44350","42590"
"Leaver CS","2023","No function","Serious Fraud Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Serious Fraud Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Serious Fraud Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Teaching Regulation Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Teaching Regulation Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","The Insolvency Service","AA/AO","45","[c]","21890","22180"
"Leaver CS","2023","No function","The Insolvency Service","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","No function","The Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","The Insolvency Service","SEO/HEO","15","[c]","34570","34690"
"Leaver CS","2023","No function","The National Archives","AA/AO","15","[c]","23110","23460"
"Leaver CS","2023","No function","The National Archives","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","The National Archives","SEO/HEO","30","[c]","32800","30980"
"Leaver CS","2023","No function","UK Debt Management Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","UK Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","UK Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","UK Health Security Agency","AA/AO","235","[c]","21360","20880"
"Leaver CS","2023","No function","UK Health Security Agency","EO","280","[c]","26040","26570"
"Leaver CS","2023","No function","UK Health Security Agency","G6/G7","390","[c]","57550","54580"
"Leaver CS","2023","No function","UK Health Security Agency","SCS level","110","[c]","100450","96670"
"Leaver CS","2023","No function","UK Health Security Agency","SEO/HEO","885","[c]","35870","36330"
"Leaver CS","2023","No function","UK Hydrographic Office","AA/AO","20","[c]","21460","21690"
"Leaver CS","2023","No function","UK Hydrographic Office","EO","15","[c]","28020","27610"
"Leaver CS","2023","No function","UK Hydrographic Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","UK Hydrographic Office","SEO/HEO","15","[c]","36260","34370"
"Leaver CS","2023","No function","UK Statistics Authority","AA/AO","305","[c]","20840","21200"
"Leaver CS","2023","No function","UK Statistics Authority","EO","25","[c]","24940","24840"
"Leaver CS","2023","No function","UK Statistics Authority","G6/G7","20","[c]","56650","53210"
"Leaver CS","2023","No function","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","UK Statistics Authority","SEO/HEO","50","[c]","34690","33520"
"Leaver CS","2023","No function","Vehicle Certification Agency","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Vehicle Certification Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Vehicle Certification Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Vehicle Certification Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Veterinary Medicines Directorate","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Veterinary Medicines Directorate","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Veterinary Medicines Directorate","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","No function","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","Water Services Regulation Authority","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Advisory, Conciliation and Arbitration Service","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Advisory, Conciliation and Arbitration Service","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Building Digital UK","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Building Digital UK","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Building Digital UK","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Cabinet Office (excl. agencies)","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Cabinet Office (excl. agencies)","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Cabinet Office (excl. agencies)","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Central Civil Service Fast Stream","SEO/HEO","20","[c]","31130","32000"
"Leaver CS","2023","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Charity Commission","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Competition and Markets Authority","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Competition and Markets Authority","G6/G7","15","[c]","66940","63460"
"Leaver CS","2023","Project Delivery","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Competition and Markets Authority","SEO/HEO","15","[c]","37280","35880"
"Leaver CS","2023","Project Delivery","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Defence Equipment and Support","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Defence Equipment and Support","EO","15","[c]","25990","25540"
"Leaver CS","2023","Project Delivery","Defence Equipment and Support","G6/G7","40","[c]","59840","57150"
"Leaver CS","2023","Project Delivery","Defence Equipment and Support","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Defence Equipment and Support","SEO/HEO","130","[c]","37480","37290"
"Leaver CS","2023","Project Delivery","Defence Science and Technology Laboratory","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Defence Science and Technology Laboratory","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Defence Science and Technology Laboratory","G6/G7","20","[c]","53180","49260"
"Leaver CS","2023","Project Delivery","Defence Science and Technology Laboratory","SEO/HEO","15","[c]","33740","30650"
"Leaver CS","2023","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","10","[c]","62400","56520"
"Leaver CS","2023","Project Delivery","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Education (excl. agencies)","EO","10","[c]","24380","25900"
"Leaver CS","2023","Project Delivery","Department for Education (excl. agencies)","G6/G7","20","[c]","61260","62880"
"Leaver CS","2023","Project Delivery","Department for Education (excl. agencies)","SEO/HEO","15","[c]","34620","33880"
"Leaver CS","2023","Project Delivery","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for International Trade","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Transport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","EO","15","[c]","25830","27840"
"Leaver CS","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","G6/G7","15","[c]","55840","51580"
"Leaver CS","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","SEO/HEO","45","[c]","37400","38470"
"Leaver CS","2023","Project Delivery","Department of Health and Social Care (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Driver and Vehicle Licensing Agency","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Driver and Vehicle Licensing Agency","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Driver and Vehicle Licensing Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Driver and Vehicle Licensing Agency","SEO/HEO","15","[c]","42570","40070"
"Leaver CS","2023","Project Delivery","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Driver and Vehicle Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Estyn","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Estyn","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","FCDO Services","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Government Legal Department","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Government Legal Department","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Land Registry","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Land Registry","SEO/HEO","15","[c]","38610","39520"
"Leaver CS","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","EO","30","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","G6/G7","65","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","SEO/HEO","115","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Treasury (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","HM Treasury (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Home Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Home Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Met Office","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Met Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Met Office","G6/G7","10","[c]","49470","47960"
"Leaver CS","2023","Project Delivery","Met Office","SEO/HEO","15","[c]","38650","38540"
"Leaver CS","2023","Project Delivery","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Ministry of Defence (excl. agencies)","EO","10","[c]","27720","27740"
"Leaver CS","2023","Project Delivery","Ministry of Defence (excl. agencies)","G6/G7","45","[c]","59710","59750"
"Leaver CS","2023","Project Delivery","Ministry of Defence (excl. agencies)","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Ministry of Defence (excl. agencies)","SEO/HEO","140","[c]","39330","40580"
"Leaver CS","2023","Project Delivery","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Ministry of Justice (excl. agencies)","G6/G7","10","[c]","57820","56450"
"Leaver CS","2023","Project Delivery","Ministry of Justice (excl. agencies)","SEO/HEO","10","[c]","39050","40670"
"Leaver CS","2023","Project Delivery","National Crime Agency","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","National Savings and Investments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","National Savings and Investments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Queen Elizabeth II Centre","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Queen Elizabeth II Centre","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Rural Payments Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Rural Payments Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Scottish Prison Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Serious Fraud Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Standards and Testing Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Standards and Testing Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Standards and Testing Agency","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Standards and Testing Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Submarine Delivery Agency","Unknown","140","[c]","41330","36370"
"Leaver CS","2023","Project Delivery","The Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Space Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Space Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Statistics Authority","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","UK Statistics Authority","SEO/HEO","15","[c]","34040","33030"
"Leaver CS","2023","Project Delivery","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Valuation Office Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Vehicle Certification Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Wilton Park","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Wilton Park","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Wilton Park","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Wilton Park","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Building Digital UK","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Building Digital UK","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Cabinet Office (excl. agencies)","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Property","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Cabinet Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Central Civil Service Fast Stream","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Companies House","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","15","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Work and Pensions (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Department for Work and Pensions (excl. agencies)","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Property","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Driver and Vehicle Licensing Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Driver and Vehicle Standards Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Property","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","FCDO Services","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Property","FCDO Services","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Government Property Agency","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Property","Government Property Agency","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Government Property Agency","SEO/HEO","15","[c]","36510","36440"
"Leaver CS","2023","Property","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
