"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Digital, Data & Technology","SEO/HEO","HEO","210","[c]","33080","32960"
"Leaver Dept.","2023","Digital, Data & Technology","SEO/HEO","SEO","195","[c]","41310","40600"
"Leaver Dept.","2023","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","AA/AO","AO","25","[c]","21820","22220"
"Leaver Dept.","2023","Finance","EO","EO","70","[c]","28030","27500"
"Leaver Dept.","2023","Finance","G6/G7","G6","40","[c]","69790","70330"
"Leaver Dept.","2023","Finance","G6/G7","G7","65","[c]","54310","52840"
"Leaver Dept.","2023","Finance","SCS level","SCS level","25","[c]","95940","87120"
"Leaver Dept.","2023","Finance","SEO/HEO","HEO","135","[c]","33770","33250"
"Leaver Dept.","2023","Finance","SEO/HEO","SEO","105","[c]","40840","40980"
"Leaver Dept.","2023","Grants Management","AA/AO","AO","35","[c]","21810","22150"
"Leaver Dept.","2023","Grants Management","EO","EO","15","[c]","25480","25760"
"Leaver Dept.","2023","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","AA/AO","AO","95","[c]","22140","21790"
"Leaver Dept.","2023","Human Resources","EO","EO","140","[c]","27380","27500"
"Leaver Dept.","2023","Human Resources","G6/G7","G6","45","[c]","66560","66530"
"Leaver Dept.","2023","Human Resources","G6/G7","G7","90","[c]","54230","54700"
"Leaver Dept.","2023","Human Resources","SCS level","SCS level","20","[c]","84110","79630"
"Leaver Dept.","2023","Human Resources","SEO/HEO","HEO","230","[c]","32960","32640"
"Leaver Dept.","2023","Human Resources","SEO/HEO","SEO","135","[c]","41140","41030"
"Leaver Dept.","2023","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Legal","AA/AO","AO","40","[c]","23920","24480"
"Leaver Dept.","2023","Legal","EO","EO","65","[c]","27710","27760"
"Leaver Dept.","2023","Legal","G6/G7","G6","40","[c]","68820","66360"
"Leaver Dept.","2023","Legal","G6/G7","G7","70","[c]","54140","52560"
"Leaver Dept.","2023","Legal","SCS level","SCS level","15","[c]","89530","88220"
"Leaver Dept.","2023","Legal","SEO/HEO","HEO","35","[c]","33110","31640"
"Leaver Dept.","2023","Legal","SEO/HEO","SEO","20","[c]","41340","41150"
"Leaver Dept.","2023","No function","AA/AO","AA","115","[c]","20420","19930"
"Leaver Dept.","2023","No function","AA/AO","AO","1970","[c]","22230","21780"
"Leaver Dept.","2023","No function","EO","EO","2550","[c]","28260","28120"
"Leaver Dept.","2023","No function","G6/G7","G6","340","[c]","66840","66120"
"Leaver Dept.","2023","No function","G6/G7","G7","970","[c]","55250","54700"
"Leaver Dept.","2023","No function","SCS level","SCS level","215","[c]","88030","78930"
"Leaver Dept.","2023","No function","SEO/HEO","HEO","1690","[c]","34040","34170"
"Leaver Dept.","2023","No function","SEO/HEO","SEO","1035","[c]","41170","41060"
"Leaver Dept.","2023","No function","Unknown","Unknown","150","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","EO","EO","70","[c]","27450","27260"
"Leaver Dept.","2023","Project Delivery","G6/G7","G6","35","[c]","66340","65310"
"Leaver Dept.","2023","Project Delivery","G6/G7","G7","85","[c]","53040","53160"
