"Status","Year","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","Heterosexual / straight","65","60","32790","31270"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Crown Commercial Service","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Crown Commercial Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","EO","Heterosexual / straight","75","70","26490","26410"
"In post","2023","Crown Commercial Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Crown Commercial Service","G6/G7","Heterosexual / straight","150","150","56790","54670"
"In post","2023","Crown Commercial Service","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2023","Crown Commercial Service","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Crown Commercial Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","SEO/HEO","Heterosexual / straight","320","310","36760","39860"
"In post","2023","Crown Commercial Service","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Crown Commercial Service","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Crown Commercial Service","SEO/HEO","Unknown","75","75","36280","37230"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","Heterosexual / straight","665","605","24000","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","LGBO","45","45","23830","23700"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","Undeclared","40","35","24010","24490"
