"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Undeclared","Commercial","Outside London","180","175","44900","41880"
"In post","2023","Undeclared","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Communications","London","55","55","47060","43580"
"In post","2023","Undeclared","Communications","Outside London","60","60","36830","34720"
"In post","2023","Undeclared","Counter Fraud","London","255","235","38400","34370"
"In post","2023","Undeclared","Counter Fraud","Outside London","645","590","34160","29730"
"In post","2023","Undeclared","Debt","London","30","25","31230","28130"
"In post","2023","Undeclared","Debt","Outside London","205","180","23780","22520"
"In post","2023","Undeclared","Digital, Data & Technology","London","245","240","52600","50590"
"In post","2023","Undeclared","Digital, Data & Technology","Outside London","950","925","42560","40200"
"In post","2023","Undeclared","Digital, Data & Technology","Overseas","5","5","[c]","[c]"
"In post","2023","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Finance","London","155","150","50810","45560"
"In post","2023","Undeclared","Finance","Outside London","390","365","37960","34700"
"In post","2023","Undeclared","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Grants Management","Outside London","160","150","25830","22150"
"In post","2023","Undeclared","Human Resources","London","115","110","46320","42620"
"In post","2023","Undeclared","Human Resources","Outside London","365","350","35050","33470"
"In post","2023","Undeclared","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","London","10","10","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","Outside London","15","15","[c]","[c]"
"In post","2023","Undeclared","Legal","London","175","165","57560","61930"
"In post","2023","Undeclared","Legal","Outside London","195","180","45570","42510"
"In post","2023","Undeclared","No function","London","2760","2615","42480","36680"
"In post","2023","Undeclared","No function","Outside London","9245","8450","31760","28120"
"In post","2023","Undeclared","No function","Overseas","130","130","52010","55070"
"In post","2023","Undeclared","No function","Unknown","35","35","31200","28120"
"In post","2023","Undeclared","Project Delivery","London","200","190","56460","55740"
"In post","2023","Undeclared","Project Delivery","Outside London","655","630","45330","42510"
"In post","2023","Undeclared","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2023","Undeclared","Property","London","70","70","46410","40190"
"In post","2023","Undeclared","Property","Outside London","280","265","38400","35020"
"In post","2023","Undeclared","Property","Overseas","5","5","[c]","[c]"
"In post","2023","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Security","London","100","100","44750","42560"
"In post","2023","Undeclared","Security","Outside London","365","360","36260","35740"
"In post","2023","Undeclared","Security","Overseas","10","10","[c]","[c]"
"In post","2023","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","London","50","45","44700","40920"
"In post","2023","Undeclared","Unknown","Outside London","690","660","45030","42330"
"In post","2023","Undeclared","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Analysis","London","615","605","45270","41550"
"In post","2023","Unknown","Analysis","Outside London","585","575","38080","37590"
"In post","2023","Unknown","Commercial","London","175","175","50160","43700"
"In post","2023","Unknown","Commercial","Outside London","530","515","39100","34300"
"In post","2023","Unknown","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Communications","London","505","495","47560","43750"
"In post","2023","Unknown","Communications","Outside London","235","230","38860","36540"
"In post","2023","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Counter Fraud","London","520","505","39310","37960"
"In post","2023","Unknown","Counter Fraud","Outside London","1550","1460","32690","28130"
"In post","2023","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Debt","London","130","120","28600","26920"
"In post","2023","Unknown","Debt","Outside London","1420","1320","23510","22520"
"In post","2023","Unknown","Digital, Data & Technology","London","965","950","48180","43610"
"In post","2023","Unknown","Digital, Data & Technology","Outside London","3005","2940","41380","38100"
"In post","2023","Unknown","Digital, Data & Technology","Overseas","10","10","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","Finance","London","415","405","49890","45210"
"In post","2023","Unknown","Finance","Outside London","1070","1010","34420","29040"
"In post","2023","Unknown","Finance","Overseas","5","5","[c]","[c]"
"In post","2023","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
