"Status","Year","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Maritime and Coastguard Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Medicines and Healthcare Products Regulatory Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Ministry of Defence (excl. agencies)","245","[c]","34280","33300"
"Leaver CS","2023","Undeclared","Ministry of Justice (excl. agencies)","35","[c]","43130","37680"
"Leaver CS","2023","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Office of Rail and Road","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Office of the Public Guardian","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Planning Inspectorate","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Scottish Government (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Submarine Delivery Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","UK Health Security Agency","160","[c]","43930","38970"
"Leaver CS","2023","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","UK Statistics Authority","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Valuation Office Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Welsh Government (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Advisory, Conciliation and Arbitration Service","40","[c]","37020","32110"
"Leaver CS","2023","Unknown","Animal and Plant Health Agency","50","[c]","26960","25340"
"Leaver CS","2023","Unknown","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Building Digital UK","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Cabinet Office (excl. agencies)","160","[c]","43750","39530"
"Leaver CS","2023","Unknown","Central Civil Service Fast Stream","110","[c]","30530","30130"
"Leaver CS","2023","Unknown","Centre for Environment, Fisheries and Aquaculture Science","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Charity Commission","30","[c]","30780","29160"
"Leaver CS","2023","Unknown","Companies House","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Competition and Markets Authority","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Crown Commercial Service","45","[c]","42540","39170"
"Leaver CS","2023","Unknown","Crown Office and Procurator Fiscal Service","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Crown Prosecution Service","110","[c]","35110","28200"
"Leaver CS","2023","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Defence Equipment and Support","135","[c]","32020","31920"
"Leaver CS","2023","Unknown","Defence Science and Technology Laboratory","360","[c]","37090","38070"
"Leaver CS","2023","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","[c]","43150","40050"
"Leaver CS","2023","Unknown","Department for Digital, Culture, Media and Sport (excl. agencies)","40","[c]","47660","51730"
"Leaver CS","2023","Unknown","Department for Education (excl. agencies)","185","[c]","37680","37590"
"Leaver CS","2023","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","115","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Department for International Trade","135","[c]","38640","38050"
"Leaver CS","2023","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","60","[c]","36950","33210"
"Leaver CS","2023","Unknown","Department for Transport (excl. agencies)","55","[c]","44260","43750"
"Leaver CS","2023","Unknown","Department for Work and Pensions (excl. agencies)","670","[c]","28750","27570"
"Leaver CS","2023","Unknown","Department of Health and Social Care (excl. agencies)","415","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Disclosure Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Driver and Vehicle Licensing Agency","115","[c]","21960","21840"
"Leaver CS","2023","Unknown","Driver and Vehicle Standards Agency","195","[c]","27240","26780"
"Leaver CS","2023","Unknown","Education Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Education and Skills Funding Agency","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","FCDO Services","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Food Standards Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Food Standards Scotland","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","345","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Forestry and Land Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Government Actuary's Department","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Government Commercial Organisation","135","[c]","73350","67910"
"Leaver CS","2023","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Government Legal Department","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","HM Courts and Tribunals Service","565","[c]","23920","21780"
"Leaver CS","2023","Unknown","HM Land Registry","175","[c]","32750","28080"
"Leaver CS","2023","Unknown","HM Prison and Probation Service","1625","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","HM Revenue and Customs (excl. agencies)","1315","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","HM Treasury (excl. agencies)","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Health and Safety Executive","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Home Office","1020","[c]","30200","25880"
"Leaver CS","2023","Unknown","Institute for Apprenticeships and Technical Education","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Intellectual Property Office","40","[c]","34930","28750"
"Leaver CS","2023","Unknown","Legal Aid Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Maritime and Coastguard Agency","65","[c]","26820","26130"
"Leaver CS","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","125","[c]","46310","41010"
"Leaver CS","2023","Unknown","Ministry of Defence (excl. agencies)","805","[c]","33530","27740"
"Leaver CS","2023","Unknown","Ministry of Justice (excl. agencies)","150","[c]","42650","35410"
"Leaver CS","2023","Unknown","National Crime Agency","265","[c]","39980","38310"
"Leaver CS","2023","Unknown","National Records of Scotland","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Northern Ireland Office","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Office for Standards in Education, Children's Services and Skills","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Office of Gas and Electricity Markets","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Office of the Public Guardian","35","[c]","21600","21780"
"Leaver CS","2023","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Planning Inspectorate","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Registers of Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Royal Fleet Auxiliary","200","[c]","36910","34110"
"Leaver CS","2023","Unknown","Rural Payments Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Scottish Courts and Tribunals Service","85","[c]","27910","25060"
"Leaver CS","2023","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Scottish Government (excl. agencies)","225","[c]","39510","34730"
"Leaver CS","2023","Unknown","Scottish Prison Service","370","[c]","32810","31290"
"Leaver CS","2023","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Serious Fraud Office","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Social Security Scotland","100","[c]","27840","23340"
"Leaver CS","2023","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Student Awards Agency for Scotland","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Submarine Delivery Agency","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","The Insolvency Service","45","[c]","25870","22180"
"Leaver CS","2023","Unknown","The National Archives","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Transport Scotland","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","UK Debt Management Office","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","UK Health Security Agency","575","[c]","47330","40880"
"Leaver CS","2023","Unknown","UK Hydrographic Office","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","UK Space Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","UK Statistics Authority","285","[c]","29270","22860"
"Leaver CS","2023","Unknown","UK Supreme Court","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Valuation Office Agency","75","[c]","29710","25000"
"Leaver CS","2023","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Welsh Government (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Active Travel England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Animal and Plant Health Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Cabinet Office (excl. agencies)","115","[c]","44670","39320"
"Leaver Dept.","2023","Declared disabled","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Companies House","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Crown Commercial Service","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Crown Prosecution Service","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","[c]","43860","40050"
"Leaver Dept.","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Department for Education (excl. agencies)","45","[c]","43140","38210"
"Leaver Dept.","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Department for International Trade","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","50","[c]","41280","36160"
"Leaver Dept.","2023","Declared disabled","Department for Transport (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","390","[c]","28750","28120"
"Leaver Dept.","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Driver and Vehicle Licensing Agency","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Driver and Vehicle Standards Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Education and Skills Funding Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Government Commercial Organisation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Government Legal Department","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","HM Courts and Tribunals Service","65","[c]","26690","22750"
"Leaver Dept.","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","HM Prison and Probation Service","80","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","95","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","HM Treasury (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Health and Safety Executive","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Home Office","75","[c]","38090","31580"
"Leaver Dept.","2023","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Ministry of Defence (excl. agencies)","55","[c]","35570","34300"
"Leaver Dept.","2023","Declared disabled","Ministry of Justice (excl. agencies)","55","[c]","36850","34450"
"Leaver Dept.","2023","Declared disabled","National Crime Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Rural Payments Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","The Insolvency Service","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Health Security Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Active Travel England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Animal and Plant Health Agency","40","[c]","27380","25920"
"Leaver Dept.","2023","Declared non-disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","720","[c]","44780","40600"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Charity Commission","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","30","[c]","48150","36960"
"Leaver Dept.","2023","Declared non-disabled","Criminal Injuries Compensation Authority","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Commercial Service","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","65","[c]","39200","28850"
"Leaver Dept.","2023","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","40","[c]","39340","38790"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","315","[c]","44420","40050"
"Leaver Dept.","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","155","[c]","45750","38100"
"Leaver Dept.","2023","Declared non-disabled","Department for Education (excl. agencies)","200","[c]","47540","42340"
"Leaver Dept.","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","305","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for International Trade","105","[c]","43110","38160"
"Leaver Dept.","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","295","[c]","42470","37060"
"Leaver Dept.","2023","Declared non-disabled","Department for Transport (excl. agencies)","135","[c]","45430","40430"
"Leaver Dept.","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","1980","[c]","30130","28120"
"Leaver Dept.","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","60","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Driver and Vehicle Licensing Agency","160","[c]","29880","27300"
"Leaver Dept.","2023","Declared non-disabled","Driver and Vehicle Standards Agency","65","[c]","32710","30350"
"Leaver Dept.","2023","Declared non-disabled","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Education and Skills Funding Agency","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","FCDO Services","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Food Standards Agency","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Forestry and Land Scotland","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Government Commercial Organisation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Government Internal Audit Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Government Legal Department","75","[c]","49210","50500"
"Leaver Dept.","2023","Declared non-disabled","Government Property Agency","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","HM Courts and Tribunals Service","325","[c]","28340","21780"
"Leaver Dept.","2023","Declared non-disabled","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","HM Prison and Probation Service","505","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","HM Revenue and Customs (excl. agencies)","740","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","HM Treasury (excl. agencies)","180","[c]","47430","39050"
"Leaver Dept.","2023","Declared non-disabled","Health and Safety Executive","35","[c]","41950","40510"
"Leaver Dept.","2023","Declared non-disabled","Home Office","620","[c]","40020","35900"
"Leaver Dept.","2023","Declared non-disabled","Institute for Apprenticeships and Technical Education","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Intellectual Property Office","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Legal Aid Agency","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Maritime and Coastguard Agency","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Met Office","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Ministry of Defence (excl. agencies)","380","[c]","36880","34300"
"Leaver Dept.","2023","Declared non-disabled","Ministry of Justice (excl. agencies)","305","[c]","43570","41510"
"Leaver Dept.","2023","Declared non-disabled","National Crime Agency","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
