"Status","Year","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department of Health and Social Care","AA/AO","Unknown","165","145","22300","22320"
"In post","2023","Department of Health and Social Care","EO","Heterosexual / straight","730","705","27560","27960"
"In post","2023","Department of Health and Social Care","EO","LGBO","65","60","27120","27960"
"In post","2023","Department of Health and Social Care","EO","Undeclared","210","205","27720","28770"
"In post","2023","Department of Health and Social Care","EO","Unknown","205","195","27710","27840"
"In post","2023","Department of Health and Social Care","G6/G7","Heterosexual / straight","2145","2055","59280","55200"
"In post","2023","Department of Health and Social Care","G6/G7","LGBO","175","170","58970","54690"
"In post","2023","Department of Health and Social Care","G6/G7","Undeclared","750","715","59220","54690"
"In post","2023","Department of Health and Social Care","G6/G7","Unknown","615","595","60440","56320"
"In post","2023","Department of Health and Social Care","SCS level","Heterosexual / straight","455","425","98170","95750"
"In post","2023","Department of Health and Social Care","SCS level","LGBO","35","35","100060","95170"
"In post","2023","Department of Health and Social Care","SCS level","Undeclared","110","100","95600","89300"
"In post","2023","Department of Health and Social Care","SCS level","Unknown","135","120","105580","96360"
"In post","2023","Department of Health and Social Care","SEO/HEO","Heterosexual / straight","2400","2315","37630","38120"
"In post","2023","Department of Health and Social Care","SEO/HEO","LGBO","225","220","37540","38120"
"In post","2023","Department of Health and Social Care","SEO/HEO","Undeclared","705","680","37880","38120"
"In post","2023","Department of Health and Social Care","SEO/HEO","Unknown","690","660","38120","38460"
"In post","2023","Estyn","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Estyn","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Estyn","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","G6/G7","Heterosexual / straight","65","60","76870","78500"
"In post","2023","Estyn","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Estyn","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Estyn","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","EO","Heterosexual / straight","225","215","28380","28090"
"In post","2023","Food Standards Agency","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Food Standards Agency","EO","Undeclared","30","25","[c]","[c]"
"In post","2023","Food Standards Agency","EO","Unknown","165","155","28170","28090"
"In post","2023","Food Standards Agency","G6/G7","Heterosexual / straight","225","220","56520","55260"
"In post","2023","Food Standards Agency","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Food Standards Agency","G6/G7","Undeclared","35","35","57870","56830"
"In post","2023","Food Standards Agency","G6/G7","Unknown","30","30","57420","56850"
"In post","2023","Food Standards Agency","SCS level","Heterosexual / straight","20","20","[c]","[c]"
