"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Unknown","Unknown","AO","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","EO","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","HEO","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","SEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Unknown","215","[c]","36830","33920"
"Leaver Dept.","2023","Declared disabled","London","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","London","AO","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","London","EO","105","[c]","30350","29890"
"Leaver Dept.","2023","Declared disabled","London","G6","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","London","G7","100","[c]","55260","54730"
"Leaver Dept.","2023","Declared disabled","London","HEO","155","[c]","35350","35410"
"Leaver Dept.","2023","Declared disabled","London","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","London","SEO","100","[c]","42030","41550"
"Leaver Dept.","2023","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Outside London","AA","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Outside London","AO","240","[c]","21890","21690"
"Leaver Dept.","2023","Declared disabled","Outside London","EO","285","[c]","27460","27570"
"Leaver Dept.","2023","Declared disabled","Outside London","G6","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Outside London","G7","65","[c]","53440","51940"
"Leaver Dept.","2023","Declared disabled","Outside London","HEO","160","[c]","32700","32160"
"Leaver Dept.","2023","Declared disabled","Outside London","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Outside London","SEO","100","[c]","39720","38470"
"Leaver Dept.","2023","Declared disabled","Outside London","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","London","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","London","AO","155","[c]","25050","25480"
"Leaver Dept.","2023","Declared non-disabled","London","EO","605","[c]","29870","29890"
"Leaver Dept.","2023","Declared non-disabled","London","G6","290","[c]","67940","66620"
"Leaver Dept.","2023","Declared non-disabled","London","G7","670","[c]","55970","55170"
"Leaver Dept.","2023","Declared non-disabled","London","HEO","890","[c]","34940","34670"
"Leaver Dept.","2023","Declared non-disabled","London","SCS level","180","[c]","90820","82510"
"Leaver Dept.","2023","Declared non-disabled","London","SEO","600","[c]","42440","42010"
"Leaver Dept.","2023","Declared non-disabled","London","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Outside London","AA","80","[c]","21350","20750"
"Leaver Dept.","2023","Declared non-disabled","Outside London","AO","1400","[c]","21880","21690"
"Leaver Dept.","2023","Declared non-disabled","Outside London","EO","1665","[c]","27500","27570"
"Leaver Dept.","2023","Declared non-disabled","Outside London","G6","100","[c]","66810","65820"
"Leaver Dept.","2023","Declared non-disabled","Outside London","G7","395","[c]","53090","51860"
"Leaver Dept.","2023","Declared non-disabled","Outside London","HEO","870","[c]","32930","32560"
"Leaver Dept.","2023","Declared non-disabled","Outside London","SCS level","50","[c]","90180","81580"
"Leaver Dept.","2023","Declared non-disabled","Outside London","SEO","705","[c]","40440","39780"
"Leaver Dept.","2023","Declared non-disabled","Outside London","Unknown","100","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","G7","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","EO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","AO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","EO","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","G6","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","G7","65","[c]","55640","54700"
"Leaver Dept.","2023","Undeclared","London","HEO","70","[c]","34610","34000"
"Leaver Dept.","2023","Undeclared","London","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","SEO","55","[c]","41770","41410"
"Leaver Dept.","2023","Undeclared","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Outside London","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Outside London","AO","115","[c]","21890","21780"
