"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G6","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Female","50","[c]","51480","50810"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Male","55","[c]","53240","51970"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Female","175","[c]","33710","32110"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Male","160","[c]","33550","33430"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Female","110","[c]","41750","41060"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Male","115","[c]","41990","41060"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","EO","EO","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","EO","EO","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G7","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G7","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Female","65","[c]","35690","35040"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Male","50","[c]","35050","35040"
"New entrant CS","2023","Department for Education","AA/AO","AO","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Department for Education","AA/AO","AO","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Department for Education","EO","EO","Female","105","[c]","26040","25900"
"New entrant CS","2023","Department for Education","EO","EO","Male","45","[c]","25330","25900"
"New entrant CS","2023","Department for Education","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Education","G6/G7","G6","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Education","G6/G7","G7","Female","35","[c]","53150","51410"
"New entrant CS","2023","Department for Education","G6/G7","G7","Male","30","[c]","53160","51450"
"New entrant CS","2023","Department for Education","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Education","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Education","SEO/HEO","HEO","Female","95","[c]","31970","30700"
"New entrant CS","2023","Department for Education","SEO/HEO","HEO","Male","45","[c]","31260","30330"
"New entrant CS","2023","Department for Education","SEO/HEO","SEO","Female","75","[c]","38930","37710"
"New entrant CS","2023","Department for Education","SEO/HEO","SEO","Male","35","[c]","38870","37590"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","AA/AO","AO","Female","395","[c]","22410","22150"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","AA/AO","AO","Male","310","[c]","22410","22150"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","EO","EO","Female","230","[c]","26600","25920"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","EO","EO","Male","140","[c]","26350","25920"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G6","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G6","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G7","Female","120","[c]","51990","51290"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G7","Male","95","[c]","52080","51480"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Female","185","[c]","31760","30350"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Male","150","[c]","31890","30910"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Female","160","[c]","38550","37300"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Male","130","[c]","39230","37740"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for International Trade","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for International Trade","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for International Trade","EO","EO","Female","90","[c]","27200","29280"
"New entrant CS","2023","Department for International Trade","EO","EO","Male","80","[c]","25730","26250"
"New entrant CS","2023","Department for International Trade","G6/G7","G6","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Department for International Trade","G6/G7","G6","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for International Trade","G6/G7","G7","Female","50","[c]","53420","54210"
"New entrant CS","2023","Department for International Trade","G6/G7","G7","Male","60","[c]","57050","56400"
"New entrant CS","2023","Department for International Trade","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for International Trade","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for International Trade","SEO/HEO","HEO","Female","105","[c]","33950","35010"
"New entrant CS","2023","Department for International Trade","SEO/HEO","HEO","Male","105","[c]","33930","35010"
"New entrant CS","2023","Department for International Trade","SEO/HEO","SEO","Female","120","[c]","41720","41960"
"New entrant CS","2023","Department for International Trade","SEO/HEO","SEO","Male","145","[c]","41850","41750"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AA","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AA","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AO","Female","25","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AO","Male","30","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","EO","EO","Female","20","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","EO","EO","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G6","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G6","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G7","Female","50","[c]","46130","43740"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G7","Male","45","[c]","48080","43740"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Female","65","[c]","32660","33880"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Male","40","[c]","32680","33880"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","Department for Transport","AA/AO","AA","Female","85","[c]","18980","19000"
"New entrant CS","2023","Department for Transport","AA/AO","AA","Male","55","[c]","19240","19000"
"New entrant CS","2023","Department for Transport","AA/AO","AO","Female","385","[c]","22550","22500"
"New entrant CS","2023","Department for Transport","AA/AO","AO","Male","435","[c]","24760","22500"
"New entrant CS","2023","Department for Transport","EO","EO","Female","140","[c]","27570","26960"
"New entrant CS","2023","Department for Transport","EO","EO","Male","325","[c]","27400","26780"
"New entrant CS","2023","Department for Transport","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Transport","G6/G7","G6","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Department for Transport","G6/G7","G7","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Department for Transport","G6/G7","G7","Male","40","[c]","55720","55190"
"New entrant CS","2023","Department for Transport","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Transport","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Department for Transport","SEO/HEO","HEO","Female","85","[c]","33300","34660"
"New entrant CS","2023","Department for Transport","SEO/HEO","HEO","Male","105","[c]","32610","31660"
"New entrant CS","2023","Department for Transport","SEO/HEO","SEO","Female","45","[c]","41660","42470"
"New entrant CS","2023","Department for Transport","SEO/HEO","SEO","Male","70","[c]","41910","40070"
"New entrant CS","2023","Department for Work and Pensions","AA/AO","AO","Female","1035","[c]","21910","21690"
"New entrant CS","2023","Department for Work and Pensions","AA/AO","AO","Male","800","[c]","21880","21690"
"New entrant CS","2023","Department for Work and Pensions","EO","EO","Female","520","[c]","27970","28120"
"New entrant CS","2023","Department for Work and Pensions","EO","EO","Male","455","[c]","28080","28120"
"New entrant CS","2023","Department for Work and Pensions","G6/G7","G6","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Department for Work and Pensions","G6/G7","G6","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","Department for Work and Pensions","G6/G7","G7","Female","80","[c]","55250","55250"
"New entrant CS","2023","Department for Work and Pensions","G6/G7","G7","Male","100","[c]","56130","56150"
"New entrant CS","2023","Department for Work and Pensions","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Work and Pensions","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Department for Work and Pensions","SEO/HEO","HEO","Female","205","[c]","34950","34170"
"New entrant CS","2023","Department for Work and Pensions","SEO/HEO","HEO","Male","215","[c]","35090","34170"
"New entrant CS","2023","Department for Work and Pensions","SEO/HEO","SEO","Female","115","[c]","41160","40000"
"New entrant CS","2023","Department for Work and Pensions","SEO/HEO","SEO","Male","135","[c]","42640","40790"
"New entrant CS","2023","Department of Health and Social Care","AA/AO","AA","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Department of Health and Social Care","AA/AO","AA","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Department of Health and Social Care","AA/AO","AO","Female","90","[c]","22490","22480"
"New entrant CS","2023","Department of Health and Social Care","AA/AO","AO","Male","65","[c]","22270","21470"
"New entrant CS","2023","Department of Health and Social Care","EO","EO","Female","215","[c]","27000","27690"
"New entrant CS","2023","Department of Health and Social Care","EO","EO","Male","90","[c]","26510","27640"
"New entrant CS","2023","Department of Health and Social Care","G6/G7","G6","Female","55","[c]","70840","67160"
"New entrant CS","2023","Department of Health and Social Care","G6/G7","G6","Male","40","[c]","71570","66730"
"New entrant CS","2023","Department of Health and Social Care","G6/G7","G7","Female","130","[c]","53300","53400"
"New entrant CS","2023","Department of Health and Social Care","G6/G7","G7","Male","90","[c]","53530","53400"
"New entrant CS","2023","Department of Health and Social Care","SCS level","SCS level","Female","35","[c]","96390","92780"
"New entrant CS","2023","Department of Health and Social Care","SCS level","SCS level","Male","35","[c]","106190","102500"
"New entrant CS","2023","Department of Health and Social Care","SEO/HEO","HEO","Female","210","[c]","33060","33330"
"New entrant CS","2023","Department of Health and Social Care","SEO/HEO","HEO","Male","115","[c]","32940","33500"
"New entrant CS","2023","Department of Health and Social Care","SEO/HEO","SEO","Female","165","[c]","40550","40880"
"New entrant CS","2023","Department of Health and Social Care","SEO/HEO","SEO","Male","105","[c]","40390","40880"
"New entrant CS","2023","Estyn","AA/AO","AO","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","EO","EO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","EO","EO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","AA/AO","AO","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","EO","EO","Female","25","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","EO","EO","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","SEO/HEO","HEO","Female","35","[c]","31360","30960"
"New entrant CS","2023","Food Standards Agency","SEO/HEO","HEO","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","SEO/HEO","SEO","Female","20","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","SEO/HEO","SEO","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","AA/AO","AO","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","EO","EO","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","EO","EO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","AA/AO","AA","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","AA/AO","AO","Female","135","[c]","23490","23390"
"New entrant CS","2023","HM Land Registry","AA/AO","AO","Male","85","[c]","23590","23390"
"New entrant CS","2023","HM Land Registry","EO","EO","Female","40","[c]","28580","28080"
"New entrant CS","2023","HM Land Registry","EO","EO","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","G6/G7","G7","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","G6/G7","G7","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","SEO/HEO","HEO","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","SEO/HEO","HEO","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","SEO/HEO","SEO","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","SEO/HEO","SEO","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","HM Revenue and Customs","AA/AO","AO","Female","1885","[c]","22830","22520"
"New entrant CS","2023","HM Revenue and Customs","AA/AO","AO","Male","1545","[c]","22780","22520"
"New entrant CS","2023","HM Revenue and Customs","EO","EO","Female","285","[c]","28190","27650"
"New entrant CS","2023","HM Revenue and Customs","EO","EO","Male","340","[c]","28240","27650"
"New entrant CS","2023","HM Revenue and Customs","G6/G7","G6","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","HM Revenue and Customs","G6/G7","G6","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","HM Revenue and Customs","G6/G7","G7","Female","75","[c]","54580","52600"
"New entrant CS","2023","HM Revenue and Customs","G6/G7","G7","Male","115","[c]","55350","54680"
"New entrant CS","2023","HM Revenue and Customs","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Revenue and Customs","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","HM Revenue and Customs","SEO/HEO","HEO","Female","265","[c]","35520","34400"
"New entrant CS","2023","HM Revenue and Customs","SEO/HEO","HEO","Male","340","[c]","35420","34400"
"New entrant CS","2023","HM Revenue and Customs","SEO/HEO","SEO","Female","95","[c]","43030","41780"
"New entrant CS","2023","HM Revenue and Customs","SEO/HEO","SEO","Male","175","[c]","43400","43010"
"New entrant CS","2023","HM Treasury","AA/AO","AO","Female","25","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","AA/AO","AO","Male","30","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","EO","EO","Female","45","[c]","26590","25460"
"New entrant CS","2023","HM Treasury","EO","EO","Male","35","[c]","26400","27820"
"New entrant CS","2023","HM Treasury","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","G6/G7","G6","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","G6/G7","G7","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","G6/G7","G7","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","SEO/HEO","HEO","Female","65","[c]","31420","30130"
"New entrant CS","2023","HM Treasury","SEO/HEO","HEO","Male","70","[c]","32170","32970"
"New entrant CS","2023","HM Treasury","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","HM Treasury","SEO/HEO","SEO","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Home Office","AA/AO","AA","Female","70","[c]","21540","22460"
"New entrant CS","2023","Home Office","AA/AO","AA","Male","50","[c]","21540","23500"
"New entrant CS","2023","Home Office","AA/AO","AO","Female","2150","[c]","23120","22400"
"New entrant CS","2023","Home Office","AA/AO","AO","Male","1560","[c]","23030","22400"
"New entrant CS","2023","Home Office","EO","EO","Female","1540","[c]","26950","25750"
"New entrant CS","2023","Home Office","EO","EO","Male","1735","[c]","27190","25750"
"New entrant CS","2023","Home Office","G6/G7","G6","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Home Office","G6/G7","G6","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Home Office","G6/G7","G7","Female","25","[c]","[c]","[c]"
"New entrant CS","2023","Home Office","G6/G7","G7","Male","60","[c]","57900","59000"
"New entrant CS","2023","Home Office","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Home Office","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Home Office","SEO/HEO","HEO","Female","205","[c]","34090","32920"
"New entrant CS","2023","Home Office","SEO/HEO","HEO","Male","180","[c]","34050","32530"
"New entrant CS","2023","Home Office","SEO/HEO","SEO","Female","80","[c]","41230","41640"
"New entrant CS","2023","Home Office","SEO/HEO","SEO","Male","75","[c]","40980","40080"
"New entrant CS","2023","Home Office","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Home Office","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Ministry of Defence","AA/AO","AA","Female","240","[c]","21840","21380"
"New entrant CS","2023","Ministry of Defence","AA/AO","AA","Male","395","[c]","23870","24430"
"New entrant CS","2023","Ministry of Defence","AA/AO","AO","Female","795","[c]","22520","22220"
"New entrant CS","2023","Ministry of Defence","AA/AO","AO","Male","810","[c]","24440","22220"
"New entrant CS","2023","Ministry of Defence","EO","EO","Female","450","[c]","27570","27080"
"New entrant CS","2023","Ministry of Defence","EO","EO","Male","490","[c]","28050","27080"
"New entrant CS","2023","Ministry of Defence","G6/G7","G6","Female","45","[c]","76880","78330"
"New entrant CS","2023","Ministry of Defence","G6/G7","G6","Male","50","[c]","73440","68650"
"New entrant CS","2023","Ministry of Defence","G6/G7","G7","Female","115","[c]","55660","54440"
"New entrant CS","2023","Ministry of Defence","G6/G7","G7","Male","170","[c]","53830","54440"
"New entrant CS","2023","Ministry of Defence","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Ministry of Defence","SCS level","SCS level","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","Ministry of Defence","SEO/HEO","HEO","Female","585","[c]","33670","33830"
"New entrant CS","2023","Ministry of Defence","SEO/HEO","HEO","Male","790","[c]","33210","33830"
"New entrant CS","2023","Ministry of Defence","SEO/HEO","SEO","Female","210","[c]","42200","41000"
"New entrant CS","2023","Ministry of Defence","SEO/HEO","SEO","Male","450","[c]","42540","41200"
"New entrant CS","2023","Ministry of Defence","Unknown","Unknown","Female","125","[c]","28880","26000"
"New entrant CS","2023","Ministry of Defence","Unknown","Unknown","Male","295","[c]","29920","26450"
"New entrant CS","2023","Ministry of Justice","AA/AO","AA","Female","1325","[c]","22810","23230"
"New entrant CS","2023","Ministry of Justice","AA/AO","AA","Male","875","[c]","23130","23230"
"New entrant CS","2023","Ministry of Justice","AA/AO","AO","Female","3260","[c]","26540","28170"
"New entrant CS","2023","Ministry of Justice","AA/AO","AO","Male","3405","[c]","28320","28880"
"New entrant CS","2023","Ministry of Justice","EO","EO","Female","460","[c]","28060","28480"
"New entrant CS","2023","Ministry of Justice","EO","EO","Male","215","[c]","28090","28480"
"New entrant CS","2023","Ministry of Justice","G6/G7","G6","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Ministry of Justice","G6/G7","G6","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Ministry of Justice","G6/G7","G7","Female","45","[c]","55610","55720"
"New entrant CS","2023","Ministry of Justice","G6/G7","G7","Male","70","[c]","55080","55720"
"New entrant CS","2023","Ministry of Justice","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Ministry of Justice","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Ministry of Justice","SEO/HEO","HEO","Female","350","[c]","33160","33200"
"New entrant CS","2023","Ministry of Justice","SEO/HEO","HEO","Male","225","[c]","33960","35410"
"New entrant CS","2023","Ministry of Justice","SEO/HEO","SEO","Female","170","[c]","41520","41500"
"New entrant CS","2023","Ministry of Justice","SEO/HEO","SEO","Male","125","[c]","41700","41750"
"New entrant CS","2023","Ministry of Justice","Unknown","Unknown","Female","3050","[c]","23010","23640"
"New entrant CS","2023","Ministry of Justice","Unknown","Unknown","Male","1015","[c]","23380","23640"
"New entrant CS","2023","National Crime Agency","AA/AO","AO","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","AA/AO","AO","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","EO","EO","Female","150","[c]","33920","34340"
"New entrant CS","2023","National Crime Agency","EO","EO","Male","155","[c]","34550","34670"
"New entrant CS","2023","National Crime Agency","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","G6/G7","G6","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","G6/G7","G7","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","G6/G7","G7","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","SEO/HEO","HEO","Female","40","[c]","41160","41280"
"New entrant CS","2023","National Crime Agency","SEO/HEO","HEO","Male","45","[c]","42020","41170"
"New entrant CS","2023","National Crime Agency","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","National Crime Agency","SEO/HEO","SEO","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","EO","EO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","EO","EO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","Female","50","[c]","22330","22260"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","EO","EO","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","EO","EO","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","Female","85","[c]","75130","77470"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","Male","55","[c]","75320","77470"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
