"Status","Year","Organisation","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","SEO/HEO","25","25","36280","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","AA/AO","110","105","22180","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","EO","45","45","26270","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","G6/G7","15","15","53670","51210"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","SEO/HEO","45","45","36210","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Cumbria","AA/AO","125","120","22280","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Cumbria","EO","35","30","26380","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Cumbria","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
