"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","15","[c]","42830","40260"
"Leaver CS","2023","Water Services Regulation Authority","Water Services Regulation Authority","40","[c]","48110","45420"
"Leaver CS","2023","Welsh Government (excl. agencies)","Welsh Government","210","[c]","41790","38160"
"Leaver CS","2023","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Wilton Park","Foreign, Commonwealth and Development Office","10","[c]","34050","25860"
"Leaver Dept.","2023","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","25","[c]","30830","25160"
"Leaver Dept.","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","55","[c]","27320","25920"
"Leaver Dept.","2023","Attorney General's Office","Attorney General's Departments","15","[c]","50230","52560"
"Leaver Dept.","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","30","[c]","44080","38280"
"Leaver Dept.","2023","Cabinet Office (excl. agencies)","Cabinet Office","1105","[c]","45290","40600"
"Leaver Dept.","2023","Central Civil Service Fast Stream","Cabinet Office","520","[c]","31790","32000"
"Leaver Dept.","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","Charity Commission","20","[c]","31180","29260"
"Leaver Dept.","2023","Companies House","Department for Business, Energy and Industrial Strategy","40","[c]","37350","32900"
"Leaver Dept.","2023","Competition and Markets Authority","Competition and Markets Authority","35","[c]","46250","36960"
"Leaver Dept.","2023","Criminal Injuries Compensation Authority","Ministry of Justice","20","[c]","25910","25470"
"Leaver Dept.","2023","Crown Commercial Service","Cabinet Office","35","[c]","36980","38980"
"Leaver Dept.","2023","Crown Office and Procurator Fiscal Service","Scottish Government","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Crown Prosecution Service","Attorney General's Departments","130","[c]","37160","31180"
"Leaver Dept.","2023","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Defence Equipment and Support","Ministry of Defence","50","[c]","37850","36490"
"Leaver Dept.","2023","Defence Science and Technology Laboratory","Ministry of Defence","60","[c]","42360","39890"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","490","[c]","44500","40050"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","220","[c]","45680","38280"
"Leaver Dept.","2023","Department for Education (excl. agencies)","Department for Education","460","[c]","43750","39220"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","455","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","Department for International Trade","220","[c]","42810","38160"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","445","[c]","42330","36340"
"Leaver Dept.","2023","Department for Transport (excl. agencies)","Department for Transport","230","[c]","44560","39040"
"Leaver Dept.","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","2695","[c]","30100","28120"
"Leaver Dept.","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","405","[c]","[c]","[c]"
"Leaver Dept.","2023","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Driver and Vehicle Licensing Agency","Department for Transport","210","[c]","29240","27190"
"Leaver Dept.","2023","Driver and Vehicle Standards Agency","Department for Transport","125","[c]","31240","26960"
"Leaver Dept.","2023","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Education and Skills Funding Agency","Department for Education","55","[c]","41690","37590"
"Leaver Dept.","2023","Estyn","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","FCDO Services","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","Food Standards Agency","60","[c]","39210","37460"
"Leaver Dept.","2023","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","225","[c]","[c]","[c]"
"Leaver Dept.","2023","Forestry and Land Scotland","Scottish Government","20","[c]","40920","40510"
"Leaver Dept.","2023","Government Actuary's Department","Chancellor's other departments","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Government Commercial Organisation","Cabinet Office","25","[c]","55310","56000"
"Leaver Dept.","2023","Government Internal Audit Agency","HM Treasury","20","[c]","42590","42320"
"Leaver Dept.","2023","Government Legal Department","Attorney General's Departments","110","[c]","49590","51250"
"Leaver Dept.","2023","Government Property Agency","Cabinet Office","25","[c]","49260","49700"
"Leaver Dept.","2023","HM Courts and Tribunals Service","Ministry of Justice","505","[c]","28110","23720"
"Leaver Dept.","2023","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Prison and Probation Service","Ministry of Justice","735","[c]","39900","39550"
"Leaver Dept.","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1330","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury (excl. agencies)","HM Treasury","255","[c]","47530","39050"
"Leaver Dept.","2023","Health and Safety Executive","Department for Work and Pensions","45","[c]","38400","33140"
"Leaver Dept.","2023","Home Office","Home Office","1200","[c]","38460","32630"
"Leaver Dept.","2023","Institute for Apprenticeships and Technical Education","Department for Education","15","[c]","46090","46570"
"Leaver Dept.","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","35","[c]","40240","34570"
"Leaver Dept.","2023","Legal Aid Agency","Ministry of Justice","25","[c]","30610","25830"
"Leaver Dept.","2023","Maritime and Coastguard Agency","Department for Transport","25","[c]","30820","27450"
"Leaver Dept.","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","20","[c]","52340","40850"
"Leaver Dept.","2023","Met Office","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","575","[c]","36930","34300"
"Leaver Dept.","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","475","[c]","41830","38370"
"Leaver Dept.","2023","National Crime Agency","National Crime Agency","105","[c]","41990","39020"
"Leaver Dept.","2023","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Northern Ireland Office","Northern Ireland Office","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","45","[c]","42890","36330"
