"Status","Year","Organisation","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","EO","25","25","32190","32720"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","HEO","10","10","35530","36040"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","AO","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leeds","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lewisham and Southwark","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lewisham and Southwark","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Manchester","EO","10","10","26890","25920"
"In post","2023","Animal and Plant Health Agency","Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Manchester","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Manchester","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Kent","EO","10","10","29040","29150"
"In post","2023","Animal and Plant Health Agency","Mid Kent","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Kent","Unknown","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","AO","30","25","22210","22150"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","EO","30","30","26450","25920"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","HEO","15","15","30950","30320"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","SEO","10","10","39220","37300"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","AO","20","15","22450","22150"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","EO","55","50","26050","25920"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","G6","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","G7","10","10","51110","49400"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","HEO","25","25","30600","30320"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","SEO","25","25","38140","37300"
"In post","2023","Animal and Plant Health Agency","North and West Norfolk","HEO","5","5","[c]","[c]"
