"Status","Year","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Declared disabled","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","UK Statistics Authority","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Government Commercial Organisation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Cabinet Office (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Department for Work and Pensions (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Debt","Department for Work and Pensions (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Debt","HM Revenue and Customs (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Cabinet Office (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Ministry of Justice (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","UK Statistics Authority","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Department for Work and Pensions (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Ministry of Justice (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Grants Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Cabinet Office (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department for Work and Pensions (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Driver and Vehicle Licensing Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Home Office","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Ministry of Defence (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Ministry of Justice (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
