"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","South East (England)","Kent","SEO/HEO","190","185","39140","37680"
"In post","2023","Declared disabled","South East (England)","Kent","Unknown","120","110","30050","29050"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","AA/AO","375","325","24800","22440"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","EO","410","365","29020","28120"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","G6/G7","65","60","59160","57970"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","SEO/HEO","215","200","37920","36090"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","Unknown","105","100","30930","29050"
"In post","2023","Declared disabled","South West (England)","Cornwall and Isles of Scilly","AA/AO","105","90","21870","21690"
"In post","2023","Declared disabled","South West (England)","Cornwall and Isles of Scilly","EO","85","75","28020","28120"
"In post","2023","Declared disabled","South West (England)","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","40","35","36470","34170"
"In post","2023","Declared disabled","South West (England)","Cornwall and Isles of Scilly","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Devon","AA/AO","395","335","23470","22040"
"In post","2023","Declared disabled","South West (England)","Devon","EO","350","315","28300","28120"
"In post","2023","Declared disabled","South West (England)","Devon","G6/G7","75","75","54360","50160"
"In post","2023","Declared disabled","South West (England)","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Devon","SEO/HEO","320","300","37560","37420"
"In post","2023","Declared disabled","South West (England)","Devon","Unknown","95","85","31690","29050"
"In post","2023","Declared disabled","South West (England)","Dorset and Somerset","AA/AO","225","210","24240","22220"
"In post","2023","Declared disabled","South West (England)","Dorset and Somerset","EO","220","200","28460","28120"
"In post","2023","Declared disabled","South West (England)","Dorset and Somerset","G6/G7","35","30","57430","55470"
"In post","2023","Declared disabled","South West (England)","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Dorset and Somerset","SEO/HEO","185","175","38320","36800"
"In post","2023","Declared disabled","South West (England)","Dorset and Somerset","Unknown","85","75","30140","29050"
"In post","2023","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","555","505","23250","22220"
"In post","2023","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","600","550","27790","28120"
