"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Unknown","SEO","Female","45","45","43850","41480"
"In post","2023","Unknown","SEO","Male","80","80","45430","44900"
"In post","2023","Unknown","Unknown","Female","175","175","37800","36860"
"In post","2023","Unknown","Unknown","Male","1535","1535","42370","40530"
"In post","2023","Wales","AA","Female","945","730","19680","19000"
"In post","2023","Wales","AA","Male","750","695","20520","19000"
"In post","2023","Wales","AO","Female","6405","5475","22820","22500"
"In post","2023","Wales","AO","Male","3955","3790","23910","22500"
"In post","2023","Wales","EO","Female","5580","5035","27880","28120"
"In post","2023","Wales","EO","Male","4050","3910","28370","28120"
"In post","2023","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Wales","G6","Female","405","385","71060","69580"
"In post","2023","Wales","G6","Male","490","480","71270","69940"
"In post","2023","Wales","G7","Female","1565","1485","56980","56450"
"In post","2023","Wales","G7","Male","1630","1585","58230","57970"
"In post","2023","Wales","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Wales","HEO","Female","3485","3260","34800","34400"
"In post","2023","Wales","HEO","Male","2740","2665","34990","34700"
"In post","2023","Wales","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Wales","SCS level","Female","135","130","86100","81600"
"In post","2023","Wales","SCS level","Male","215","205","89600","81600"
"In post","2023","Wales","SEO","Female","2400","2280","43160","42140"
"In post","2023","Wales","SEO","Male","2260","2215","43650","42510"
"In post","2023","Wales","Unknown","Female","1235","1155","29900","27530"
"In post","2023","Wales","Unknown","Male","405","385","30070","29050"
"In post","2023","West Midlands (England)","AA","Female","565","500","21880","22520"
"In post","2023","West Midlands (England)","AA","Male","600","570","21990","21720"
"In post","2023","West Midlands (England)","AO","Female","5510","4795","23110","21780"
"In post","2023","West Midlands (England)","AO","Male","3795","3645","25220","22500"
"In post","2023","West Midlands (England)","EO","Female","5475","4890","27950","28120"
"In post","2023","West Midlands (England)","EO","Male","4010","3870","28700","28120"
"In post","2023","West Midlands (England)","G6","Female","405","390","69440","66860"
