"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Devon CC","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Dorset","AA/AO","115","105","26690","24670"
"In post","2023","Declared disabled","Dorset","EO","80","70","29490","28120"
"In post","2023","Declared disabled","Dorset","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Dorset","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Dorset","SEO/HEO","80","75","40030","38490"
"In post","2023","Declared disabled","Dorset","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Dudley","AA/AO","100","90","21660","21690"
"In post","2023","Declared disabled","Dudley","EO","75","65","28080","28120"
"In post","2023","Declared disabled","Dudley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Dudley","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Dudley","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Dudley","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Dumfries and Galloway","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Dumfries and Galloway","EO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Dumfries and Galloway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Dumfries and Galloway","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Durham","AA/AO","325","275","24110","22520"
"In post","2023","Declared disabled","Durham","EO","185","165","28620","28120"
"In post","2023","Declared disabled","Durham","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Durham","SEO/HEO","100","95","37490","34850"
"In post","2023","Declared disabled","Durham","Unknown","45","45","32680","30280"
"In post","2023","Declared disabled","Ealing","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Ealing","EO","50","45","32430","32520"
"In post","2023","Declared disabled","Ealing","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ealing","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Ealing","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","East Ayrshire and North Ayrshire mainland","AA/AO","45","40","22660","21690"
"In post","2023","Declared disabled","East Ayrshire and North Ayrshire mainland","EO","50","45","28480","28120"
"In post","2023","Declared disabled","East Ayrshire and North Ayrshire mainland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Ayrshire and North Ayrshire mainland","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","East Cumbria","AA/AO","65","60","22150","22150"
"In post","2023","Declared disabled","East Cumbria","EO","40","35","27470","28000"
"In post","2023","Declared disabled","East Cumbria","G6/G7","15","10","[c]","[c]"
"In post","2023","Declared disabled","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Cumbria","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","East Cumbria","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Derbyshire","AA/AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","East Derbyshire","EO","35","30","27870","28120"
"In post","2023","Declared disabled","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Derbyshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Derbyshire","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AA/AO","70","60","26910","21690"
"In post","2023","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","EO","45","40","33460","32350"
"In post","2023","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","SEO/HEO","25","25","[c]","[c]"
