"Status","Year","Age","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Conwy and Denbighshire","Male","25","20","[c]","[c]"
"In post","2023","20-29","Cornwall and Isles of Scilly","Female","80","75","25480","23640"
"In post","2023","20-29","Cornwall and Isles of Scilly","Male","50","45","26560","24260"
"In post","2023","20-29","Coventry","Female","260","250","30750","30330"
"In post","2023","20-29","Coventry","Male","165","160","31200","30330"
"In post","2023","20-29","Croydon","Female","880","865","34210","31310"
"In post","2023","20-29","Croydon","Male","635","635","35590","32540"
"In post","2023","20-29","Darlington","Female","185","185","31330","30350"
"In post","2023","20-29","Darlington","Male","140","140","32340","31070"
"In post","2023","20-29","Derby","Female","110","105","25120","23640"
"In post","2023","20-29","Derby","Male","45","45","27800","28120"
"In post","2023","20-29","Derry City and Strabane","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Derry City and Strabane","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Devon CC","Female","365","360","27520","27810"
"In post","2023","20-29","Devon CC","Male","330","330","27920","28120"
"In post","2023","20-29","Dorset","Female","145","140","27910","28120"
"In post","2023","20-29","Dorset","Male","115","115","28570","28880"
"In post","2023","20-29","Dudley","Female","80","80","24860","21690"
"In post","2023","20-29","Dudley","Male","60","55","24850","21690"
"In post","2023","20-29","Dumfries and Galloway","Female","35","35","30310","29450"
"In post","2023","20-29","Dumfries and Galloway","Male","30","30","27520","26220"
"In post","2023","20-29","Durham","Female","595","565","26400","25880"
"In post","2023","20-29","Durham","Male","415","410","27270","28080"
"In post","2023","20-29","Ealing","Female","35","35","31390","32520"
"In post","2023","20-29","Ealing","Male","15","15","[c]","[c]"
