"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","20-29","Project Delivery","Defence Science and Technology Laboratory","Ministry of Defence","10","[c]","27920","30650"
"Leaver CS","2023","20-29","Project Delivery","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Department for Education (excl. agencies)","Department for Education","15","[c]","29570","29530"
"Leaver CS","2023","20-29","Project Delivery","Department for International Trade","Department for International Trade","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15","[c]","28300","31060"
"Leaver CS","2023","20-29","Project Delivery","Driver and Vehicle Licensing Agency","Department for Transport","10","[c]","26710","24310"
"Leaver CS","2023","20-29","Project Delivery","Estyn","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","FCDO Services","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","HM Land Registry","HM Land Registry","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","10","[c]","27970","23650"
"Leaver CS","2023","20-29","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","35","[c]","35890","34140"
"Leaver CS","2023","20-29","Project Delivery","Ministry of Justice (excl. agencies)","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Submarine Delivery Agency","Ministry of Defence","35","[c]","30630","31920"
"Leaver CS","2023","20-29","Project Delivery","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","UK Statistics Authority","UK Statistics Authority","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Government Property Agency","Cabinet Office","10","[c]","34670","32000"
"Leaver CS","2023","20-29","Property","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Ministry of Defence (excl. agencies)","Ministry of Defence","15","[c]","24950","19770"
"Leaver CS","2023","20-29","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Scottish Prison Service","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Valuation Office Agency","HM Revenue and Customs","70","[c]","30010","26270"
"Leaver CS","2023","20-29","Security","Cabinet Office (excl. agencies)","Cabinet Office","15","[c]","25000","21720"
"Leaver CS","2023","20-29","Security","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","Estyn","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","Home Office","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","140","[c]","27330","27480"
"Leaver CS","2023","20-29","Security","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Central Civil Service Fast Stream","Cabinet Office","45","[c]","30210","29690"
"Leaver CS","2023","20-29","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","25","[c]","26220","19430"
"Leaver CS","2023","20-29","Unknown","Department for International Trade","Department for International Trade","30","[c]","19960","18300"
"Leaver CS","2023","20-29","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","60","[c]","28560","25610"
"Leaver CS","2023","20-29","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","150","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Disclosure Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Food Standards Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","60","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Forestry and Land Scotland","Scottish Government","20","[c]","27630","27180"
"Leaver CS","2023","20-29","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","25","[c]","29360","27840"
"Leaver CS","2023","20-29","Unknown","National Records of Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","50","[c]","31140","27000"
"Leaver CS","2023","20-29","Unknown","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Royal Fleet Auxiliary","Ministry of Defence","50","[c]","27940","29530"
"Leaver CS","2023","20-29","Unknown","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Scottish Government (excl. agencies)","Scottish Government","120","[c]","30070","29100"
"Leaver CS","2023","20-29","Unknown","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Social Security Scotland","Scottish Government","30","[c]","26870","23340"
"Leaver CS","2023","20-29","Unknown","Student Awards Agency for Scotland","Scottish Government","15","[c]","22810","22180"
"Leaver CS","2023","20-29","Unknown","Transport Scotland","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Welsh Government (excl. agencies)","Welsh Government","30","[c]","24770","23800"
"Leaver CS","2023","30-39","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","[c]","36560","30820"
"Leaver CS","2023","30-39","Analysis","Competition and Markets Authority","Competition and Markets Authority","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","40","[c]","41000","39890"
"Leaver CS","2023","30-39","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Department for Education (excl. agencies)","Department for Education","10","[c]","45350","43370"
"Leaver CS","2023","30-39","Analysis","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Estyn","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Government Actuary's Department","Chancellor's other departments","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","HM Treasury (excl. agencies)","HM Treasury","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Home Office","Home Office","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","UK Statistics Authority","UK Statistics Authority","20","[c]","43760","38340"
"Leaver CS","2023","30-39","Analysis","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Building Digital UK","Department for Digital, Culture, Media and Sport","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","10","[c]","49660","42480"
"Leaver CS","2023","30-39","Commercial","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Crown Commercial Service","Cabinet Office","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Defence Equipment and Support","Ministry of Defence","20","[c]","39160","42620"
"Leaver CS","2023","30-39","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Department for Education (excl. agencies)","Department for Education","10","[c]","41750","37590"
"Leaver CS","2023","30-39","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Government Commercial Organisation","Cabinet Office","30","[c]","69100","66790"
"Leaver CS","2023","30-39","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Home Office","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","41200","41500"
"Leaver CS","2023","30-39","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Submarine Delivery Agency","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","UK Export Finance","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Cabinet Office (excl. agencies)","Cabinet Office","20","[c]","47770","44070"
"Leaver CS","2023","30-39","Communications","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for Education (excl. agencies)","Department for Education","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Home Office","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","45310","44070"
"Leaver CS","2023","30-39","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","UK Export Finance","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","40","[c]","26730","27570"
"Leaver CS","2023","30-39","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","55","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Serious Fraud Office","Attorney General's Departments","10","[c]","47080","42010"
"Leaver CS","2023","30-39","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","60","[c]","21840","21690"
"Leaver CS","2023","30-39","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","80","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","75","[c]","52970","54700"
"Leaver CS","2023","30-39","Digital, Data & Technology","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","10","[c]","51910","53920"
"Leaver CS","2023","30-39","Digital, Data & Technology","Crown Commercial Service","Cabinet Office","10","[c]","44190","46280"
"Leaver CS","2023","30-39","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","40","[c]","49670","51360"
"Leaver CS","2023","30-39","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Department for International Trade","Department for International Trade","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","95","[c]","46590","43760"
"Leaver CS","2023","30-39","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","5","[c]","[c]","[c]"
