"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","EO","Undeclared","115","105","26740","26480"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","EO","Unknown","345","325","26670","25160"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Heterosexual / straight","1320","1265","55560","54150"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","LGBO","70","70","54160","51100"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Undeclared","180","175","55450","53130"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Unknown","205","195","59400","61540"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Heterosexual / straight","65","65","87930","80470"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Heterosexual / straight","2865","2725","37680","37420"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","LGBO","205","200","36850","37470"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Undeclared","425","400","38780","38000"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Unknown","555","540","37980","37580"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
