"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","16-19","UK Statistics Authority","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","10","[c]","26330","25920"
"Leaver Dept.","2023","20-29","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Building Digital UK","Department for Digital, Culture, Media and Sport","London","15","[c]","37880","35620"
"Leaver Dept.","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","London","320","[c]","37390","35650"
"Leaver Dept.","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","60","[c]","28710","24860"
"Leaver Dept.","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","[c]","33750","33270"
"Leaver Dept.","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","London","320","[c]","31780","32000"
"Leaver Dept.","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","Outside London","75","[c]","31640","32000"
"Leaver Dept.","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","Unknown","25","[c]","31220","32000"
"Leaver Dept.","2023","20-29","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Charity Commission","Charity Commission","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Competition and Markets Authority","Competition and Markets Authority","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Crown Commercial Service","Cabinet Office","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Crown Prosecution Service","Attorney General's Departments","London","15","[c]","27900","28200"
"Leaver Dept.","2023","20-29","Crown Prosecution Service","Attorney General's Departments","Outside London","20","[c]","26480","26900"
"Leaver Dept.","2023","20-29","Defence Equipment and Support","Ministry of Defence","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","10","[c]","32860","30650"
"Leaver Dept.","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","200","[c]","39170","34740"
"Leaver Dept.","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","15","[c]","31170","30360"
"Leaver Dept.","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","105","[c]","38450","35620"
"Leaver Dept.","2023","20-29","Department for Education (excl. agencies)","Department for Education","London","75","[c]","38810","34750"
"Leaver Dept.","2023","20-29","Department for Education (excl. agencies)","Department for Education","Outside London","65","[c]","32500","30330"
"Leaver Dept.","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","130","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","60","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department for International Trade","Department for International Trade","London","85","[c]","35130","32720"
"Leaver Dept.","2023","20-29","Department for International Trade","Department for International Trade","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department for International Trade","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","150","[c]","35900","34000"
"Leaver Dept.","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","20","[c]","30700","30190"
"Leaver Dept.","2023","20-29","Department for Transport (excl. agencies)","Department for Transport","London","85","[c]","37460","35760"
"Leaver Dept.","2023","20-29","Department for Transport (excl. agencies)","Department for Transport","Outside London","10","[c]","31050","31350"
"Leaver Dept.","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","180","[c]","34270","32520"
"Leaver Dept.","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","510","[c]","27200","28120"
"Leaver Dept.","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","135","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","25","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","35","[c]","23850","22500"
"Leaver Dept.","2023","20-29","Driver and Vehicle Standards Agency","Department for Transport","Outside London","25","[c]","25200","26130"
"Leaver Dept.","2023","20-29","Education and Skills Funding Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Education and Skills Funding Agency","Department for Education","Outside London","10","[c]","31830","30330"
"Leaver Dept.","2023","20-29","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Food Standards Agency","Food Standards Agency","London","10","[c]","34890","33320"
"Leaver Dept.","2023","20-29","Food Standards Agency","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Food Standards Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","35","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Forestry and Land Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Actuary's Department","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Commercial Organisation","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Commercial Organisation","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Internal Audit Agency","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Legal Department","Attorney General's Departments","London","30","[c]","30870","27960"
"Leaver Dept.","2023","20-29","Government Legal Department","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Property Agency","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","London","75","[c]","28870","25480"
"Leaver Dept.","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","Outside London","115","[c]","22630","21780"
"Leaver Dept.","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Prison and Probation Service","Ministry of Justice","London","60","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Prison and Probation Service","Ministry of Justice","Outside London","125","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","105","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","375","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","London","105","[c]","37160","33720"
"Leaver Dept.","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Health and Safety Executive","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Health and Safety Executive","Department for Work and Pensions","Outside London","10","[c]","24700","24770"
"Leaver Dept.","2023","20-29","Home Office","Home Office","London","290","[c]","37670","36180"
"Leaver Dept.","2023","20-29","Home Office","Home Office","Outside London","155","[c]","26810","25880"
"Leaver Dept.","2023","20-29","Home Office","Home Office","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Legal Aid Agency","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Legal Aid Agency","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Maritime and Coastguard Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","London","60","[c]","40410","39300"
"Leaver Dept.","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","95","[c]","29290","27140"
"Leaver Dept.","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","London","115","[c]","37730","35410"
"Leaver Dept.","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","30","[c]","30310","30450"
"Leaver Dept.","2023","20-29","National Crime Agency","National Crime Agency","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","National Crime Agency","National Crime Agency","Outside London","15","[c]","29410","24650"
"Leaver Dept.","2023","20-29","National Infrastructure Commission","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Northern Ireland Office","Northern Ireland Office","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Northern Ireland Office","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office for Budget Responsibility","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","10","[c]","31400","29970"
"Leaver Dept.","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","20","[c]","32520","33400"
"Leaver Dept.","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","15","[c]","28230","24510"
"Leaver Dept.","2023","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of Rail and Road","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of Rail and Road","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of the Public Guardian","Ministry of Justice","Outside London","20","[c]","23880","21780"
"Leaver Dept.","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Registers of Scotland","Scottish Government","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","25","[c]","23150","22150"
"Leaver Dept.","2023","20-29","Scottish Courts and Tribunals Service","Scottish Government","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Scottish Forestry","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","Outside London","10","[c]","34550","34930"
"Leaver Dept.","2023","20-29","Scottish Prison Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Serious Fraud Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Social Security Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Student Awards Agency for Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Submarine Delivery Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","20","[c]","23220","22180"
"Leaver Dept.","2023","20-29","The National Archives","The National Archives","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Export Finance","UK Export Finance","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Health Security Agency","Department of Health and Social Care","London","25","[c]","36570","33790"
"Leaver Dept.","2023","20-29","UK Health Security Agency","Department of Health and Social Care","Outside London","25","[c]","30800","29590"
"Leaver Dept.","2023","20-29","UK Hydrographic Office","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Statistics Authority","UK Statistics Authority","London","20","[c]","32920","33710"
"Leaver Dept.","2023","20-29","UK Statistics Authority","UK Statistics Authority","Outside London","70","[c]","30090","31060"
"Leaver Dept.","2023","20-29","UK Supreme Court","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Valuation Office Agency","HM Revenue and Customs","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Valuation Office Agency","HM Revenue and Customs","Outside London","20","[c]","23420","22520"
"Leaver Dept.","2023","20-29","Vehicle Certification Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Welsh Government (excl. agencies)","Welsh Government","Outside London","15","[c]","28220","26820"
"Leaver Dept.","2023","20-29","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Active Travel England","Department for Transport","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Active Travel England","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","15","[c]","26850","25920"
"Leaver Dept.","2023","30-39","Attorney General's Office","Attorney General's Departments","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Building Digital UK","Department for Digital, Culture, Media and Sport","London","10","[c]","39440","34530"
"Leaver Dept.","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","London","310","[c]","51020","54700"
"Leaver Dept.","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","85","[c]","35130","33020"
"Leaver Dept.","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","London","55","[c]","32260","32000"
"Leaver Dept.","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","Outside London","25","[c]","32390","32000"
"Leaver Dept.","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Charity Commission","Charity Commission","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","15","[c]","34520","34860"
"Leaver Dept.","2023","30-39","Competition and Markets Authority","Competition and Markets Authority","London","15","[c]","47410","38010"
"Leaver Dept.","2023","30-39","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Crown Commercial Service","Cabinet Office","Outside London","10","[c]","38130","39360"
"Leaver Dept.","2023","30-39","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Crown Prosecution Service","Attorney General's Departments","London","15","[c]","40420","32660"
"Leaver Dept.","2023","30-39","Crown Prosecution Service","Attorney General's Departments","Outside London","25","[c]","33180","27150"
"Leaver Dept.","2023","30-39","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Defence Equipment and Support","Ministry of Defence","Outside London","25","[c]","39150","39530"
"Leaver Dept.","2023","30-39","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","25","[c]","42280","42570"
"Leaver Dept.","2023","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","150","[c]","48260","53380"
"Leaver Dept.","2023","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","20","[c]","35040","30740"
"Leaver Dept.","2023","30-39","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","80","[c]","48440","52760"
"Leaver Dept.","2023","30-39","Department for Education (excl. agencies)","Department for Education","London","60","[c]","50660","47410"
"Leaver Dept.","2023","30-39","Department for Education (excl. agencies)","Department for Education","Outside London","120","[c]","41210","37880"
"Leaver Dept.","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","55","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","65","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Department for International Trade","Department for International Trade","London","65","[c]","44720","41660"
"Leaver Dept.","2023","30-39","Department for International Trade","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Department for International Trade","Department for International Trade","Overseas","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","105","[c]","48670","53130"
"Leaver Dept.","2023","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","50","[c]","37530","36340"
"Leaver Dept.","2023","30-39","Department for Transport (excl. agencies)","Department for Transport","London","55","[c]","48200","43950"
"Leaver Dept.","2023","30-39","Department for Transport (excl. agencies)","Department for Transport","Outside London","15","[c]","39450","38650"
"Leaver Dept.","2023","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","130","[c]","39000","32520"
"Leaver Dept.","2023","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","570","[c]","28530","28120"
"Leaver Dept.","2023","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","10","[c]","32070","32520"
"Leaver Dept.","2023","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","95","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","30","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","100","[c]","28040","27070"
"Leaver Dept.","2023","30-39","Driver and Vehicle Standards Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Driver and Vehicle Standards Agency","Department for Transport","Outside London","35","[c]","30900","27260"
"Leaver Dept.","2023","30-39","Education Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Education and Skills Funding Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Education and Skills Funding Agency","Department for Education","Outside London","15","[c]","42670","37880"
"Leaver Dept.","2023","30-39","Estyn","Estyn","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Food Standards Agency","Food Standards Agency","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Food Standards Agency","Food Standards Agency","Outside London","15","[c]","33920","31260"
"Leaver Dept.","2023","30-39","Food Standards Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","65","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Forestry and Land Scotland","Scottish Government","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Government Actuary's Department","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Government Commercial Organisation","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Government Commercial Organisation","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Government Internal Audit Agency","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Government Legal Department","Attorney General's Departments","London","35","[c]","52960","52270"
"Leaver Dept.","2023","30-39","Government Legal Department","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Government Property Agency","Cabinet Office","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","HM Courts and Tribunals Service","Ministry of Justice","London","35","[c]","34810","34260"
"Leaver Dept.","2023","30-39","HM Courts and Tribunals Service","Ministry of Justice","Outside London","85","[c]","24420","21780"
"Leaver Dept.","2023","30-39","HM Prison and Probation Service","Ministry of Justice","London","55","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","HM Prison and Probation Service","Ministry of Justice","Outside London","205","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","85","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","300","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","HM Treasury (excl. agencies)","HM Treasury","London","90","[c]","51270","53090"
"Leaver Dept.","2023","30-39","HM Treasury (excl. agencies)","HM Treasury","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Health and Safety Executive","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Health and Safety Executive","Department for Work and Pensions","Outside London","10","[c]","32620","32800"
"Leaver Dept.","2023","30-39","Home Office","Home Office","London","190","[c]","48240","43210"
"Leaver Dept.","2023","30-39","Home Office","Home Office","Outside London","185","[c]","29180","26260"
"Leaver Dept.","2023","30-39","Institute for Apprenticeships and Technical Education","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","[c]","[c]","[c]","[c]"
