"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Office of Qualifications and Examinations Regulation","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Male","Heterosexual / straight","95","95","49510","48060"
"In post","2023","Office of Qualifications and Examinations Regulation","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of Rail and Road","Female","Heterosexual / straight","110","105","53600","55140"
"In post","2023","Office of Rail and Road","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Office of Rail and Road","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Office of Rail and Road","Female","Unknown","20","20","[c]","[c]"
"In post","2023","Office of Rail and Road","Male","Heterosexual / straight","135","135","55310","54600"
"In post","2023","Office of Rail and Road","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Office of Rail and Road","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","Male","Unknown","40","40","66830","63660"
"In post","2023","Office of Rail and Road","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Office of Rail and Road","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Female","Heterosexual / straight","30","30","57320","63190"
"In post","2023","Office of the Secretary of State for Scotland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Female","Unknown","40","35","48580","51110"
"In post","2023","Office of the Secretary of State for Scotland","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Male","Unknown","30","30","47060","52060"
"In post","2023","Office of the Secretary of State for Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","Female","Heterosexual / straight","8410","7895","41430","36330"
"In post","2023","Scottish Government","Female","LGBO","695","675","37490","33520"
"In post","2023","Scottish Government","Female","Undeclared","465","440","42610","37940"
"In post","2023","Scottish Government","Female","Unknown","5540","5145","34870","31290"
"In post","2023","Scottish Government","Male","Heterosexual / straight","6275","6105","42380","37350"
"In post","2023","Scottish Government","Male","LGBO","590","580","40710","34870"
"In post","2023","Scottish Government","Male","Undeclared","415","405","43890","38400"
"In post","2023","Scottish Government","Male","Unknown","5230","5010","36380","33520"
"In post","2023","Scottish Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","The National Archives","Female","Heterosexual / straight","150","140","37250","34940"
"In post","2023","The National Archives","Female","LGBO","30","25","[c]","[c]"
"In post","2023","The National Archives","Female","Undeclared","45","40","34790","31800"
"In post","2023","The National Archives","Female","Unknown","100","95","38270","35470"
"In post","2023","The National Archives","Male","Heterosexual / straight","125","120","40250","36240"
"In post","2023","The National Archives","Male","LGBO","20","20","[c]","[c]"
"In post","2023","The National Archives","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","The National Archives","Male","Unknown","105","100","35660","32020"
"In post","2023","The National Archives","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","The National Archives","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","Female","Heterosexual / straight","195","190","50400","45080"
"In post","2023","UK Export Finance","Female","LGBO","10","10","[c]","[c]"
