"Status","Year","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Other","5","[c]","[c]","[c]"
"Leaver CS","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","15","[c]","37970","30640"
"Leaver CS","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal Aid Agency","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal Aid Agency","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal Aid Agency","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal Aid Agency","Ministry of Justice","Operational Delivery","60","[c]","28280","21780"
"Leaver CS","2023","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Digital, Data and Technology","20","[c]","37570","31800"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Human Resources","5","[c]","[c]","[c]"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","125","[c]","31890","26960"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Policy","25","[c]","41080","40000"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Communications","10","[c]","43250","41190"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","10","[c]","51950","53830"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Human Resources","10","[c]","[c]","[c]"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Medicine","30","[c]","68690","68630"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","40","[c]","39630","33030"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Other","45","[c]","52900","51080"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","50","[c]","48920","41480"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","30","[c]","38120","35230"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Human Resources","5","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","30","[c]","32880","32730"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Other","30","[c]","26330","19080"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","10","[c]","43440","45150"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","40","[c]","41220","40040"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","60","[c]","37580","35800"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Communications","40","[c]","42980","40610"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","130","[c]","35340","33420"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","185","[c]","40980","36460"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","765","[c]","31100","27170"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Intelligence Analysis","70","[c]","35200","34300"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","15","[c]","41350","36140"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","35","[c]","29810","27470"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Legal","5","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Medicine","265","[c]","45490","40590"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Operational Delivery","260","[c]","26880","22220"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","235","[c]","23760","21070"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","65","[c]","44500","42030"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","210","[c]","44520","41200"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","180","[c]","31170","33000"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","165","[c]","32750","28000"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","685","[c]","31780","27500"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","30","[c]","29300","23560"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","20","[c]","36130","35410"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","15","[c]","41300","37110"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","125","[c]","53840","55720"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","45","[c]","44120","41750"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","65","[c]","36420","33150"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","10","[c]","22890","21780"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","5","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","135","[c]","39350","34260"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","10","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","45","[c]","47340","43650"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","25","[c]","48560","51770"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","25","[c]","50650","41510"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","5","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","10","[c]","34390","29660"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","10","[c]","36480","31230"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Digital, Data and Technology","20","[c]","48390","43290"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Human Resources","10","[c]","46470","45480"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Legal","5","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Operational Delivery","310","[c]","41130","38640"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Project Delivery","10","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Infrastructure Commission","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Infrastructure Commission","HM Treasury","Policy","5","[c]","[c]","[c]"
"Leaver CS","2023","National Records of Scotland","Scottish Government","Unknown","45","[c]","33060","29450"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Other","10","[c]","[c]","[c]"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","Northern Ireland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Budget Responsibility","HM Treasury","Economics","5","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","10","[c]","43770","40850"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Human Resources","10","[c]","33360","29760"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","140","[c]","67930","77470"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Legal","5","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Operational Delivery","15","[c]","26500","22490"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Other","25","[c]","29950","27140"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Policy","10","[c]","38400","26420"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Social Research","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Statistics","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Communications","15","[c]","40730","38000"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Digital, Data and Technology","25","[c]","50070","46530"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Human Resources","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Legal","15","[c]","61030","62550"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Operational Delivery","20","[c]","31770","32320"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Other","15","[c]","43360","44630"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Policy","25","[c]","48460","44780"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Project Delivery","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Unknown","130","[c]","43370","36290"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Operational Delivery","15","[c]","50990","57710"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Public Guardian","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Public Guardian","Ministry of Justice","Operational Delivery","95","[c]","22560","21780"
"Leaver CS","2023","Office of the Public Guardian","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Scottish Charity Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Policy","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Human Resources","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Operational Delivery","20","[c]","25930","21960"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Other","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Planning Inspectors","20","[c]","60530","60050"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","Scottish Government","Digital, Data and Technology","10","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","Scottish Government","Operational Delivery","25","[c]","35670","32510"
"Leaver CS","2023","Registers of Scotland","Scottish Government","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Revenue Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Royal Fleet Auxiliary","Ministry of Defence","Other","200","[c]","36910","34110"
"Leaver CS","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","205","[c]","23880","22150"
"Leaver CS","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Project Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Human Resources","5","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Operational Delivery","140","[c]","26670","25060"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Fiscal Commission","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Forestry","Scottish Government","Unknown","15","[c]","40930","40510"
"Leaver CS","2023","Scottish Government (excl. agencies)","Scottish Government","Unknown","495","[c]","43300","38330"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Commercial","10","[c]","26650","24710"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Human Resources","10","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Operational Delivery","300","[c]","33390","37060"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Other","70","[c]","32250","28490"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","Psychology","5","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Public Pensions Agency","Scottish Government","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Counter Fraud","35","[c]","47010","42210"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Digital, Data and Technology","10","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Legal","5","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Other","5","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Social Security Scotland","Scottish Government","Unknown","160","[c]","28980","24890"
"Leaver CS","2023","Standards and Testing Agency","Department for Education","Project Delivery","10","[c]","[c]","[c]"
"Leaver CS","2023","Student Awards Agency for Scotland","Scottish Government","Unknown","30","[c]","24970","22180"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Commercial","20","[c]","45720","44000"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Operational Delivery","30","[c]","42910","33690"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Project Delivery","40","[c]","41680","40440"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Science and Engineering","65","[c]","40400","34480"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Teaching Regulation Agency","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
