"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","London","Female","75","70","38590","39150"
"In post","2023","Black","Unknown","London","Male","25","25","[c]","[c]"
"In post","2023","Black","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Outside London","Female","70","70","37380","33520"
"In post","2023","Black","Unknown","Outside London","Male","70","65","39330","33520"
"In post","2023","Black","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Overseas","Female","[c]","[c]","[c]","[c]"
