"Status","Year","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Finance","Yorkshire and The Humber","1045","970","38680","34970"
"In post","2023","Declared non-disabled","Grants Management","East Midlands (England)","60","55","26770","25920"
"In post","2023","Declared non-disabled","Grants Management","East of England","30","30","27200","25920"
"In post","2023","Declared non-disabled","Grants Management","London","30","30","51620","51640"
"In post","2023","Declared non-disabled","Grants Management","North East (England)","270","250","25410","22150"
"In post","2023","Declared non-disabled","Grants Management","North West (England)","535","485","25620","22150"
"In post","2023","Declared non-disabled","Grants Management","South East (England)","85","80","28310","22150"
"In post","2023","Declared non-disabled","Grants Management","South West (England)","150","140","26730","25920"
"In post","2023","Declared non-disabled","Grants Management","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","West Midlands (England)","95","90","26360","25920"
"In post","2023","Declared non-disabled","Grants Management","Yorkshire and The Humber","150","145","27560","25920"
"In post","2023","Declared non-disabled","Human Resources","East Midlands (England)","455","435","38990","35000"
"In post","2023","Declared non-disabled","Human Resources","East of England","325","310","35440","33220"
"In post","2023","Declared non-disabled","Human Resources","London","1940","1875","49310","44450"
"In post","2023","Declared non-disabled","Human Resources","North East (England)","565","530","34560","33020"
"In post","2023","Declared non-disabled","Human Resources","North West (England)","1035","985","38870","35000"
"In post","2023","Declared non-disabled","Human Resources","Northern Ireland","55","55","33500","30170"
"In post","2023","Declared non-disabled","Human Resources","Overseas","35","35","53040","43690"
"In post","2023","Declared non-disabled","Human Resources","Scotland","530","500","35370","33120"
"In post","2023","Declared non-disabled","Human Resources","South East (England)","890","860","36630","34300"
"In post","2023","Declared non-disabled","Human Resources","South West (England)","1070","1015","38390","34300"
"In post","2023","Declared non-disabled","Human Resources","Unknown","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Wales","645","610","36670","32560"
"In post","2023","Declared non-disabled","Human Resources","West Midlands (England)","635","610","37330","33980"
"In post","2023","Declared non-disabled","Human Resources","Yorkshire and The Humber","855","810","37120","33990"
"In post","2023","Declared non-disabled","Internal Audit","East Midlands (England)","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","East of England","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","London","130","125","53930","53070"
"In post","2023","Declared non-disabled","Internal Audit","North East (England)","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","North West (England)","40","40","47260","43470"
"In post","2023","Declared non-disabled","Internal Audit","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Scotland","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","South East (England)","55","55","40080","37370"
"In post","2023","Declared non-disabled","Internal Audit","South West (England)","75","65","45660","43890"
"In post","2023","Declared non-disabled","Internal Audit","Unknown","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Wales","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","West Midlands (England)","40","40","50280","45240"
"In post","2023","Declared non-disabled","Internal Audit","Yorkshire and The Humber","40","35","53180","51350"
"In post","2023","Declared non-disabled","Legal","East Midlands (England)","380","350","39580","34700"
"In post","2023","Declared non-disabled","Legal","East of England","395","355","43790","38850"
