"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","35","[c]","61190","54700"
"Leaver CS","2023","Commercial","Central Civil Service Fast Stream","Cabinet Office","Commercial","10","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Competition and Markets Authority","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Crown Commercial Service","Cabinet Office","Commercial","25","[c]","34660","35290"
"Leaver CS","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Defence Equipment and Support","Ministry of Defence","Commercial","70","[c]","43600","37760"
"Leaver CS","2023","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","10","[c]","34990","39890"
"Leaver CS","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Commercial","30","[c]","42240","38490"
"Leaver CS","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Commercial","15","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for International Trade","Department for International Trade","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Education and Skills Funding Agency","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Commercial","10","[c]","36350","32750"
"Leaver CS","2023","Commercial","Government Commercial Organisation","Cabinet Office","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Government Commercial Organisation","Cabinet Office","Unknown","145","[c]","76400","69360"
"Leaver CS","2023","Commercial","HM Land Registry","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Commercial","10","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Health and Safety Executive","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Home Office","Home Office","Commercial","10","[c]","38500","42100"
"Leaver CS","2023","Commercial","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Legal Aid Agency","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Maritime and Coastguard Agency","Department for Transport","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Other","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","60","[c]","37580","35800"
"Leaver CS","2023","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","20","[c]","36130","35410"
"Leaver CS","2023","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","National Savings and Investments","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","National Savings and Investments","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Registers of Scotland","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Scottish Prison Service","Scottish Government","Commercial","10","[c]","26650","24710"
"Leaver CS","2023","Commercial","Serious Fraud Office","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Submarine Delivery Agency","Ministry of Defence","Commercial","20","[c]","45720","44000"
"Leaver CS","2023","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","The National Archives","The National Archives","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","UK Export Finance","UK Export Finance","Operational Delivery","30","[c]","52230","43000"
"Leaver CS","2023","Commercial","UK Health Security Agency","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","UK Hydrographic Office","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","UK Statistics Authority","UK Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Valuation Office Agency","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Building Digital UK","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","60","[c]","44720","41870"
"Leaver CS","2023","Communications","Central Civil Service Fast Stream","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Charity Commission","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Companies House","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Competition and Markets Authority","Competition and Markets Authority","Communications","10","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Crown Commercial Service","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Crown Prosecution Service","Attorney General's Departments","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","20","[c]","45980","40050"
"Leaver CS","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Department for Education (excl. agencies)","Department for Education","Communications","30","[c]","39260","37870"
"Leaver CS","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","35","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Department for International Trade","Department for International Trade","Communications","10","[c]","43490","41550"
"Leaver CS","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Communications","20","[c]","42850","37970"
"Leaver CS","2023","Communications","Department for Transport (excl. agencies)","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Communications","15","[c]","43830","44360"
"Leaver CS","2023","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Driver and Vehicle Licensing Agency","Department for Transport","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Driver and Vehicle Standards Agency","Department for Transport","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","FCDO Services","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Food Standards Agency","Food Standards Agency","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Government Actuary's Department","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Government Internal Audit Agency","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","HM Land Registry","HM Land Registry","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","HM Prison and Probation Service","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Communications","10","[c]","[c]","[c]"
"Leaver CS","2023","Communications","HM Treasury (excl. agencies)","HM Treasury","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Health and Safety Executive","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Home Office","Home Office","Communications","20","[c]","46910","44850"
"Leaver CS","2023","Communications","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Maritime and Coastguard Agency","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Communications","10","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Met Office","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","Communications","40","[c]","42980","40610"
"Leaver CS","2023","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","10","[c]","41960","41540"
"Leaver CS","2023","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","National Crime Agency","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","National Savings and Investments","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Northern Ireland Office","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Communications","15","[c]","40730","38000"
"Leaver CS","2023","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Office of Rail and Road","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Registers of Scotland","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Scottish Courts and Tribunals Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Serious Fraud Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Export Finance","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Export Finance","UK Export Finance","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Export Finance","UK Export Finance","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Health Security Agency","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Hydrographic Office","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Statistics Authority","UK Statistics Authority","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Supreme Court","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","UK Supreme Court","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Valuation Office Agency","HM Revenue and Customs","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Water Services Regulation Authority","Water Services Regulation Authority","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","[c]","44830","44630"
"Leaver CS","2023","Counter Fraud","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","10","[c]","22880","22740"
"Leaver CS","2023","Counter Fraud","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Counter Fraud","350","[c]","27780","28120"
"Leaver CS","2023","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","45","[c]","26430","25610"
"Leaver CS","2023","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Food Standards Agency","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Counter Fraud","55","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Legal","145","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","120","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Other","25","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","70","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Ministry of Defence (excl. agencies)","Ministry of Defence","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","National Savings and Investments","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Serious Fraud Office","Attorney General's Departments","Counter Fraud","35","[c]","47650","42210"
"Leaver CS","2023","Counter Fraud","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2023","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","335","[c]","22630","21690"
"Leaver CS","2023","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","430","[c]","[c]","[c]"
"Leaver CS","2023","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","80","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","185","[c]","50330","54700"
"Leaver CS","2023","Digital, Data & Technology","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","15","[c]","30370","30130"
"Leaver CS","2023","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Charity Commission","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","25","[c]","38010","36240"
"Leaver CS","2023","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","15","[c]","58050","53530"
"Leaver CS","2023","Digital, Data & Technology","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","25","[c]","46230","50240"
"Leaver CS","2023","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","45","[c]","41130","33650"
"Leaver CS","2023","Digital, Data & Technology","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Defence Science and Technology Laboratory","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","15","[c]","40390","33610"
"Leaver CS","2023","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","105","[c]","43500","39370"
"Leaver CS","2023","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","75","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Department for International Trade","Department for International Trade","Digital, Data and Technology","25","[c]","48180","51970"
"Leaver CS","2023","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","15","[c]","42800","40800"
"Leaver CS","2023","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Digital, Data and Technology","330","[c]","46320","40670"
"Leaver CS","2023","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","Digital, Data and Technology","25","[c]","39220","35160"
"Leaver CS","2023","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","Digital, Data and Technology","20","[c]","38620","39430"
"Leaver CS","2023","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","Digital, Data and Technology","10","[c]","44530","44400"
"Leaver CS","2023","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","Digital, Data and Technology","15","[c]","41600","41750"
"Leaver CS","2023","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Government Legal Department","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","Digital, Data and Technology","25","[c]","39950","36050"
"Leaver CS","2023","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","HM Land Registry","HM Land Registry","Digital, Data and Technology","100","[c]","40260","39460"
"Leaver CS","2023","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Digital, Data and Technology","210","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","20","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","Digital, Data and Technology","10","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Digital, Data and Technology","125","[c]","48160","43210"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Other","10","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Project Delivery","10","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","20","[c]","44600","44690"
"Leaver CS","2023","Digital, Data & Technology","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","Digital, Data and Technology","20","[c]","37570","31800"
"Leaver CS","2023","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","10","[c]","51950","53830"
"Leaver CS","2023","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","25","[c]","38170","35230"
"Leaver CS","2023","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","30","[c]","32880","32730"
"Leaver CS","2023","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","Other","20","[c]","22380","19080"
"Leaver CS","2023","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","30","[c]","40490","39650"
"Leaver CS","2023","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","130","[c]","35340","33420"
"Leaver CS","2023","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","35","[c]","29810","27470"
"Leaver CS","2023","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","115","[c]","54590","55720"
"Leaver CS","2023","Digital, Data & Technology","National Crime Agency","National Crime Agency","Digital, Data and Technology","20","[c]","48390","43290"
"Leaver CS","2023","Digital, Data & Technology","National Savings and Investments","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","10","[c]","43770","40850"
"Leaver CS","2023","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Digital, Data and Technology","20","[c]","48790","46340"
