"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Asian","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Transport (excl. agencies)","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Counter Fraud","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","30","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Operational Delivery","525","[c]","27650","28120"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Other","35","[c]","24860","21690"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Policy","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Project Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Department of Health and Social Care (excl. agencies)","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Operational Delivery","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Operational Delivery","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Education and Skills Funding Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Education and Skills Funding Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Estyn","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Estyn","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Estyn","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Estyn","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","FCDO Services","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Commercial Organisation","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Internal Audit Agency","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Internal Audit Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Internal Audit Agency","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Internal Audit Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Legal","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Government Property Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Legal","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Operational Delivery","125","[c]","25230","23720"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Operational Delivery","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Operational Delivery","160","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Prison and Probation Service","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Legal","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Operational Delivery","195","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Other","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Revenue and Customs (excl. agencies)","Tax","90","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Economics","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Policy","35","[c]","39190","32960"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Health and Safety Executive","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Digital, Data and Technology","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Operational Delivery","130","[c]","27910","26400"
"Leaver CS","2023","Asian","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Other","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Policy","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Project Delivery","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Security","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intellectual Property Office","Science and Engineering","[c]","[c]","[c]","[c]"
