"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","50-59","Declared non-disabled","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Inspector of Education and Training","G7","40","[c]","75970","77470"
"New entrant CS","2023","50-59","Declared non-disabled","Inspector of Education and Training","HEO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Inspector of Education and Training","SEO","40","[c]","48780","47750"
"New entrant CS","2023","50-59","Declared non-disabled","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Internal Audit","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Internal Audit","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Internal Audit","SEO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","International Trade","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","International Trade","G7","25","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","International Trade","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","International Trade","SEO","35","[c]","42130","42050"
"New entrant CS","2023","50-59","Declared non-disabled","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Legal","EO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Legal","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Legal","G7","35","[c]","54660","54100"
"New entrant CS","2023","50-59","Declared non-disabled","Legal","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Legal","SEO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Medicine","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","AA","250","[c]","22400","23230"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","AO","785","[c]","23620","22500"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","EO","195","[c]","27790","27760"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","G7","20","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","HEO","75","[c]","33740","33120"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","SEO","40","[c]","43170","41600"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Delivery","Unknown","270","[c]","24140","23640"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Research","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Research","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Research","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Operational Research","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","AO","45","[c]","21850","21690"
"New entrant CS","2023","50-59","Declared non-disabled","Other","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","SEO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Planning Inspectors","G6","10","[c]","[c]","[c]"
