"Status","Year","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Tees Valley and Durham","Unknown","700","660","30080","29050"
"In post","2023","Unknown","AA/AO","195","185","23480","22000"
"In post","2023","Unknown","EO","380","350","28070","28120"
"In post","2023","Unknown","G6/G7","125","125","59580","57650"
"In post","2023","Unknown","SCS level","15","15","99000","85680"
"In post","2023","Unknown","SEO/HEO","290","280","40940","39190"
"In post","2023","Unknown","Unknown","1710","1705","41910","40000"
"In post","2023","West Central Scotland","AA/AO","7505","6810","23790","22400"
"In post","2023","West Central Scotland","EO","5985","5580","29560","28120"
"In post","2023","West Central Scotland","G6/G7","2250","2170","62840","60180"
"In post","2023","West Central Scotland","SCS level","105","105","89000","85100"
"In post","2023","West Central Scotland","SEO/HEO","5700","5475","38840","36990"
"In post","2023","West Central Scotland","Unknown","85","85","41140","41900"
"In post","2023","West Midlands","AA/AO","5710","5100","22480","21780"
"In post","2023","West Midlands","EO","6005","5515","27930","28120"
"In post","2023","West Midlands","G6/G7","2265","2190","57770","55780"
"In post","2023","West Midlands","SCS level","180","175","1e+05","91670"
"In post","2023","West Midlands","SEO/HEO","5520","5315","36910","35000"
"In post","2023","West Midlands","Unknown","1275","1180","29600","29050"
"In post","2023","West Wales and The Valleys","AA/AO","6850","5965","22190","22500"
"In post","2023","West Wales and The Valleys","EO","4730","4355","28130","28120"
"In post","2023","West Wales and The Valleys","G6/G7","1025","985","62910","63280"
"In post","2023","West Wales and The Valleys","SCS level","50","45","91380","82600"
"In post","2023","West Wales and The Valleys","SEO/HEO","3775","3595","39020","39430"
"In post","2023","West Wales and The Valleys","Unknown","955","900","29730","27530"
"In post","2023","West Yorkshire","AA/AO","5025","4540","24200","22520"
"In post","2023","West Yorkshire","EO","5280","4885","28380","28120"
"In post","2023","West Yorkshire","G6/G7","2620","2520","58360","56870"
"In post","2023","West Yorkshire","SCS level","165","160","89600","81270"
"In post","2023","West Yorkshire","SEO/HEO","5470","5235","37150","35000"
"In post","2023","West Yorkshire","Unknown","1090","1015","29810","27530"
"Leaver CS","2023","Bedfordshire and Hertfordshire","AA/AO","200","[c]","22960","22500"
"Leaver CS","2023","Bedfordshire and Hertfordshire","EO","205","[c]","29020","29290"
"Leaver CS","2023","Bedfordshire and Hertfordshire","G6/G7","30","[c]","63660","62020"
"Leaver CS","2023","Bedfordshire and Hertfordshire","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Bedfordshire and Hertfordshire","SEO/HEO","80","[c]","39500","38840"
"Leaver CS","2023","Bedfordshire and Hertfordshire","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2023","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","530","[c]","26090","24220"
"Leaver CS","2023","Berkshire, Buckinghamshire and Oxfordshire","EO","235","[c]","29020","28120"
"Leaver CS","2023","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","55","[c]","62990","60110"
"Leaver CS","2023","Berkshire, Buckinghamshire and Oxfordshire","SCS level","15","[c]","108580","112570"
"Leaver CS","2023","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","210","[c]","38800","38390"
"Leaver CS","2023","Berkshire, Buckinghamshire and Oxfordshire","Unknown","90","[c]","[c]","[c]"
"Leaver CS","2023","Cheshire","AA/AO","175","[c]","22550","21780"
"Leaver CS","2023","Cheshire","EO","100","[c]","29640","28120"
"Leaver CS","2023","Cheshire","G6/G7","20","[c]","63750","59290"
"Leaver CS","2023","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cheshire","SEO/HEO","75","[c]","41150","41200"
"Leaver CS","2023","Cheshire","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Cornwall and Isles of Scilly","AA/AO","70","[c]","22120","21690"
"Leaver CS","2023","Cornwall and Isles of Scilly","EO","60","[c]","27710","27570"
"Leaver CS","2023","Cornwall and Isles of Scilly","G6/G7","10","[c]","68620","70330"
"Leaver CS","2023","Cornwall and Isles of Scilly","SEO/HEO","20","[c]","39080","36730"
"Leaver CS","2023","Cornwall and Isles of Scilly","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Cumbria","AA/AO","100","[c]","23210","22150"
"Leaver CS","2023","Cumbria","EO","35","[c]","27150","27520"
"Leaver CS","2023","Cumbria","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cumbria","SEO/HEO","30","[c]","38360","34320"
"Leaver CS","2023","Cumbria","Unknown","40","[c]","42370","39980"
"Leaver CS","2023","Derbyshire and Nottinghamshire","AA/AO","485","[c]","21930","21690"
"Leaver CS","2023","Derbyshire and Nottinghamshire","EO","325","[c]","27460","27570"
"Leaver CS","2023","Derbyshire and Nottinghamshire","G6/G7","85","[c]","59260","56840"
"Leaver CS","2023","Derbyshire and Nottinghamshire","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Derbyshire and Nottinghamshire","SEO/HEO","270","[c]","36650","35990"
"Leaver CS","2023","Derbyshire and Nottinghamshire","Unknown","85","[c]","[c]","[c]"
"Leaver CS","2023","Devon","AA/AO","410","[c]","22910","21760"
"Leaver CS","2023","Devon","EO","155","[c]","28180","27570"
"Leaver CS","2023","Devon","G6/G7","75","[c]","57250","55000"
