"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Ministry of Defence","EO","880","850","28920","27470"
"In post","2023","Declared disabled","Ministry of Defence","G6","165","155","71490","70550"
"In post","2023","Declared disabled","Ministry of Defence","G7","685","665","54100","54510"
"In post","2023","Declared disabled","Ministry of Defence","HEO","1255","1220","34430","34300"
"In post","2023","Declared disabled","Ministry of Defence","SCS level","45","40","98020","91630"
"In post","2023","Declared disabled","Ministry of Defence","SEO","1055","1020","42330","41800"
"In post","2023","Declared disabled","Ministry of Defence","Unknown","250","240","41390","40270"
"In post","2023","Declared disabled","Ministry of Justice","AA","960","860","22500","23230"
"In post","2023","Declared disabled","Ministry of Justice","AO","3565","3230","26830","25340"
"In post","2023","Declared disabled","Ministry of Justice","EO","1440","1365","30010","28480"
"In post","2023","Declared disabled","Ministry of Justice","G6","105","105","75090","70990"
"In post","2023","Declared disabled","Ministry of Justice","G7","285","280","58640","56710"
"In post","2023","Declared disabled","Ministry of Justice","HEO","1030","990","35460","35410"
"In post","2023","Declared disabled","Ministry of Justice","SCS level","35","35","89910","82400"
"In post","2023","Declared disabled","Ministry of Justice","SEO","865","835","45660","44040"
"In post","2023","Declared disabled","Ministry of Justice","Unknown","4035","3760","31140","29050"
"In post","2023","Declared disabled","National Crime Agency","AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","EO","120","120","35900","36040"
"In post","2023","Declared disabled","National Crime Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","HEO","75","75","43120","42240"
"In post","2023","Declared disabled","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","SEO","40","40","50040","48900"
"In post","2023","Declared disabled","Northern Ireland Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","G7","40","40","71250","72470"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","SEO","45","45","49080","52750"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","EO","40","40","25230","24640"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","G7","30","30","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","AA","225","205","23590","23340"
"In post","2023","Declared disabled","Scottish Government","AO","315","295","26520","26410"
"In post","2023","Declared disabled","Scottish Government","EO","630","600","32550","31940"
"In post","2023","Declared disabled","Scottish Government","G6","90","85","77020","79110"
"In post","2023","Declared disabled","Scottish Government","G7","225","210","59930","58850"
"In post","2023","Declared disabled","Scottish Government","HEO","435","415","37740","38330"
"In post","2023","Declared disabled","Scottish Government","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","SEO","300","285","47310","48640"
"In post","2023","Declared disabled","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","AA","35","20","20370","20150"
"In post","2023","Declared disabled","UK Statistics Authority","AO","115","85","21450","21200"
"In post","2023","Declared disabled","UK Statistics Authority","EO","85","80","25700","24840"
"In post","2023","Declared disabled","UK Statistics Authority","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","G7","75","70","52820","51460"
"In post","2023","Declared disabled","UK Statistics Authority","HEO","155","150","31900","31560"
"In post","2023","Declared disabled","UK Statistics Authority","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","SEO","140","135","39220","39300"
"In post","2023","Declared disabled","UK Supreme Court","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","AO","65","60","25060","25620"
"In post","2023","Declared disabled","Welsh Government","EO","70","65","29880","30610"
"In post","2023","Declared disabled","Welsh Government","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","G7","40","40","61510","63900"
"In post","2023","Declared disabled","Welsh Government","HEO","100","90","38330","39690"
"In post","2023","Declared disabled","Welsh Government","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","SEO","55","50","47450","49370"
"In post","2023","Declared non-disabled","Attorney General's Departments","AA","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Departments","AO","1045","960","23210","22870"
"In post","2023","Declared non-disabled","Attorney General's Departments","EO","1365","1285","28660","28410"
"In post","2023","Declared non-disabled","Attorney General's Departments","G6","855","795","70120","68340"
"In post","2023","Declared non-disabled","Attorney General's Departments","G7","2685","2485","56540","55170"
"In post","2023","Declared non-disabled","Attorney General's Departments","HEO","650","625","34720","33300"
"In post","2023","Declared non-disabled","Attorney General's Departments","SCS level","240","230","88260","85000"
"In post","2023","Declared non-disabled","Attorney General's Departments","SEO","465","455","40610","40080"
"In post","2023","Declared non-disabled","Cabinet Office","AO","260","240","22680","21720"
"In post","2023","Declared non-disabled","Cabinet Office","EO","500","480","27100","27430"
"In post","2023","Declared non-disabled","Cabinet Office","G6","755","745","70130","66530"
"In post","2023","Declared non-disabled","Cabinet Office","G7","1850","1810","58160","56430"
"In post","2023","Declared non-disabled","Cabinet Office","HEO","960","935","34080","34020"
"In post","2023","Declared non-disabled","Cabinet Office","SCS level","495","485","103870","96380"
"In post","2023","Declared non-disabled","Cabinet Office","SEO","795","780","40750","41410"
"In post","2023","Declared non-disabled","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Chancellor's other departments","EO","40","35","29230","30090"
"In post","2023","Declared non-disabled","Chancellor's other departments","G6","100","95","91500","83180"
"In post","2023","Declared non-disabled","Chancellor's other departments","G7","75","75","56010","56570"
"In post","2023","Declared non-disabled","Chancellor's other departments","HEO","50","50","37360","37690"
"In post","2023","Declared non-disabled","Chancellor's other departments","SCS level","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Chancellor's other departments","SEO","60","60","46700","46300"
"In post","2023","Declared non-disabled","Charity Commission","AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","EO","50","45","25480","25300"
"In post","2023","Declared non-disabled","Charity Commission","G6","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","G7","35","35","53280","52240"
"In post","2023","Declared non-disabled","Charity Commission","HEO","90","90","30380","30170"
"In post","2023","Declared non-disabled","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","SEO","55","50","39210","38800"
"In post","2023","Declared non-disabled","Competition and Markets Authority","AO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","EO","50","45","28630","28760"
"In post","2023","Declared non-disabled","Competition and Markets Authority","G6","185","175","77010","76720"
"In post","2023","Declared non-disabled","Competition and Markets Authority","G7","215","210","58340","57540"
"In post","2023","Declared non-disabled","Competition and Markets Authority","HEO","130","130","35280","34110"
