"Status","Year","Disability","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Declared disabled","UK Health Security Agency","Department of Health and Social Care","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Health Security Agency","Department of Health and Social Care","Operational Delivery","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Health Security Agency","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Health Security Agency","Department of Health and Social Care","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Hydrographic Office","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Hydrographic Office","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Hydrographic Office","Ministry of Defence","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Hydrographic Office","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Hydrographic Office","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Operational Delivery","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Statistics Authority","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Supreme Court","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","UK Supreme Court","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Vehicle Certification Agency","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Vehicle Certification Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Vehicle Certification Agency","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Vehicle Certification Agency","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Revenue Authority","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Revenue Authority","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Revenue Authority","Welsh Government","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Welsh Revenue Authority","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Wilton Park","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Active Travel England","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Active Travel England","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Active Travel England","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Active Travel England","Department for Transport","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Attorney General's Office","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Attorney General's Office","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Attorney General's Office","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Attorney General's Office","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Policy","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","710","[c]","44830","40600"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Central Civil Service Fast Stream","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Charity Commission","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Charity Commission","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Charity Commission","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Charity Commission","Charity Commission","Operational Delivery","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Charity Commission","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Commercial Service","Cabinet Office","Commercial","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Commercial Service","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Commercial Service","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Commercial Service","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Commercial Service","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Legal","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","35","[c]","29370","26900"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Commercial","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Other","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Project Delivery","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Science and Engineering","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","240","[c]","45500","41210"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Communications","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Economics","10","[c]","[c]","[c]"
