"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Undeclared","Debt","AA/AO","AO","250","220","22500","22520"
"In post","2023","Undeclared","Debt","EO","EO","70","65","29300","28130"
"In post","2023","Undeclared","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Debt","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Undeclared","Debt","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Undeclared","Digital, Data & Technology","AA/AO","AO","50","50","23260","22220"
"In post","2023","Undeclared","Digital, Data & Technology","EO","EO","205","195","28970","28120"
"In post","2023","Undeclared","Digital, Data & Technology","G6/G7","G6","105","105","69390","67960"
"In post","2023","Undeclared","Digital, Data & Technology","G6/G7","G7","300","295","56260","55920"
"In post","2023","Undeclared","Digital, Data & Technology","SCS level","SCS level","20","20","[c]","[c]"
"In post","2023","Undeclared","Digital, Data & Technology","SEO/HEO","HEO","340","330","35050","34680"
"In post","2023","Undeclared","Digital, Data & Technology","SEO/HEO","SEO","375","365","42990","42140"
"In post","2023","Undeclared","Digital, Data & Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","Finance","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Undeclared","Finance","AA/AO","AO","75","65","22730","22520"
