"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","West Midlands (England)","G6/G7","Heterosexual / straight","205","195","55480","53750"
"In post","2023","Attorney General's Departments","West Midlands (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","G6/G7","Unknown","70","60","58750","56450"
"In post","2023","Attorney General's Departments","West Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","SEO/HEO","Heterosexual / straight","75","70","35870","38760"
"In post","2023","Attorney General's Departments","West Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","AA/AO","Heterosexual / straight","125","115","22600","22870"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","AA/AO","Unknown","35","25","22920","22870"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","EO","Heterosexual / straight","165","150","27640","26900"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","EO","Unknown","30","25","28300","28850"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","G6/G7","Heterosexual / straight","335","315","56470","53750"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","G6/G7","Unknown","100","90","59320","56450"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","Heterosexual / straight","140","135","36630","38760"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","G6/G7","Heterosexual / straight","35","35","63240","58190"
"In post","2023","Cabinet Office","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office","East of England","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","EO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Cabinet Office","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","G6/G7","Heterosexual / straight","60","55","60720","58190"
"In post","2023","Cabinet Office","East of England","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","East of England","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","East of England","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office","East of England","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","SEO/HEO","Heterosexual / straight","85","80","36700","38340"
"In post","2023","Cabinet Office","East of England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office","East of England","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","Heterosexual / straight","60","60","25370","25280"
"In post","2023","Cabinet Office","London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","Undeclared","10","5","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office","London","EO","Heterosexual / straight","235","225","28830","28370"
"In post","2023","Cabinet Office","London","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Cabinet Office","London","EO","Undeclared","30","30","28730","28370"
"In post","2023","Cabinet Office","London","EO","Unknown","80","75","28860","28370"
"In post","2023","Cabinet Office","London","G6/G7","Heterosexual / straight","1475","1450","62370","59590"
"In post","2023","Cabinet Office","London","G6/G7","LGBO","170","170","60850","56430"
"In post","2023","Cabinet Office","London","G6/G7","Undeclared","185","180","60850","58120"
"In post","2023","Cabinet Office","London","G6/G7","Unknown","445","440","61900","59040"
"In post","2023","Cabinet Office","London","SCS level","Heterosexual / straight","355","345","104270","96440"
"In post","2023","Cabinet Office","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office","London","SCS level","Undeclared","35","35","98000","83750"
"In post","2023","Cabinet Office","London","SCS level","Unknown","115","115","103100","95000"
"In post","2023","Cabinet Office","London","SEO/HEO","Heterosexual / straight","1025","1015","37380","35650"
"In post","2023","Cabinet Office","London","SEO/HEO","LGBO","150","150","36680","35650"
"In post","2023","Cabinet Office","London","SEO/HEO","Undeclared","110","110","37690","36680"
"In post","2023","Cabinet Office","London","SEO/HEO","Unknown","1035","1030","31920","30130"
"In post","2023","Cabinet Office","North East (England)","AA/AO","Heterosexual / straight","100","90","21720","21720"
"In post","2023","Cabinet Office","North East (England)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","AA/AO","Undeclared","10","5","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","EO","Heterosexual / straight","70","65","25390","24860"
"In post","2023","Cabinet Office","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","G6/G7","Heterosexual / straight","45","45","60790","56000"
"In post","2023","Cabinet Office","North East (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","SEO/HEO","Heterosexual / straight","105","100","34830","33020"
"In post","2023","Cabinet Office","North East (England)","SEO/HEO","LGBO","10","10","[c]","[c]"
