"Status","Year","Age","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","30-39","EO","Undeclared","115","[c]","28120","27960"
"Leaver CS","2023","30-39","EO","Unknown","500","[c]","28720","28120"
"Leaver CS","2023","30-39","G6/G7","Heterosexual / straight","825","[c]","57850","55480"
"Leaver CS","2023","30-39","G6/G7","LGBO","115","[c]","57820","55340"
"Leaver CS","2023","30-39","G6/G7","Undeclared","110","[c]","58390","56420"
"Leaver CS","2023","30-39","G6/G7","Unknown","390","[c]","59290","57120"
"Leaver CS","2023","30-39","SCS level","Heterosexual / straight","45","[c]","81050","78110"
"Leaver CS","2023","30-39","SCS level","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","SCS level","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","SEO/HEO","Heterosexual / straight","1390","[c]","38090","38100"
"Leaver CS","2023","30-39","SEO/HEO","LGBO","170","[c]","38010","38240"
"Leaver CS","2023","30-39","SEO/HEO","Undeclared","175","[c]","38340","38720"
"Leaver CS","2023","30-39","SEO/HEO","Unknown","625","[c]","37860","38160"
"Leaver CS","2023","30-39","Unknown","Heterosexual / straight","275","[c]","37530","35720"
"Leaver CS","2023","30-39","Unknown","LGBO","35","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Unknown","160","[c]","39700","38090"
"Leaver CS","2023","40-49","AA/AO","Heterosexual / straight","1040","[c]","22560","21690"
"Leaver CS","2023","40-49","AA/AO","LGBO","50","[c]","[c]","[c]"
"Leaver CS","2023","40-49","AA/AO","Undeclared","125","[c]","22900","21690"
"Leaver CS","2023","40-49","AA/AO","Unknown","725","[c]","22920","21780"
"Leaver CS","2023","40-49","EO","Heterosexual / straight","895","[c]","28530","27650"
"Leaver CS","2023","40-49","EO","LGBO","70","[c]","28820","27650"
"Leaver CS","2023","40-49","EO","Undeclared","80","[c]","28540","28120"
"Leaver CS","2023","40-49","EO","Unknown","340","[c]","28450","28120"
"Leaver CS","2023","40-49","G6/G7","Heterosexual / straight","695","[c]","61480","59590"
"Leaver CS","2023","40-49","G6/G7","LGBO","55","[c]","62360","62140"
"Leaver CS","2023","40-49","G6/G7","Undeclared","110","[c]","62140","61440"
"Leaver CS","2023","40-49","G6/G7","Unknown","345","[c]","61710","58850"
"Leaver CS","2023","40-49","SCS level","Heterosexual / straight","145","[c]","93220","89500"
"Leaver CS","2023","40-49","SCS level","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","SCS level","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","SCS level","Unknown","55","[c]","102420","92750"
"Leaver CS","2023","40-49","SEO/HEO","Heterosexual / straight","900","[c]","38730","38470"
"Leaver CS","2023","40-49","SEO/HEO","LGBO","55","[c]","37530","37590"
"Leaver CS","2023","40-49","SEO/HEO","Undeclared","115","[c]","39420","39560"
"Leaver CS","2023","40-49","SEO/HEO","Unknown","355","[c]","39480","39460"
"Leaver CS","2023","40-49","Unknown","Heterosexual / straight","195","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Unknown","115","[c]","[c]","[c]"
"Leaver CS","2023","50-59","AA/AO","Heterosexual / straight","1425","[c]","22690","21690"
"Leaver CS","2023","50-59","AA/AO","LGBO","65","[c]","22830","21690"
"Leaver CS","2023","50-59","AA/AO","Undeclared","205","[c]","23280","21690"
"Leaver CS","2023","50-59","AA/AO","Unknown","975","[c]","22690","21760"
"Leaver CS","2023","50-59","EO","Heterosexual / straight","1245","[c]","28610","28120"
"Leaver CS","2023","50-59","EO","LGBO","50","[c]","28610","28120"
"Leaver CS","2023","50-59","EO","Undeclared","155","[c]","29110","28120"
"Leaver CS","2023","50-59","EO","Unknown","585","[c]","28780","28080"
"Leaver CS","2023","50-59","G6/G7","Heterosexual / straight","625","[c]","62380","60350"
"Leaver CS","2023","50-59","G6/G7","LGBO","35","[c]","62560","62170"
"Leaver CS","2023","50-59","G6/G7","Undeclared","90","[c]","62310","59100"
"Leaver CS","2023","50-59","G6/G7","Unknown","325","[c]","62040","61400"
"Leaver CS","2023","50-59","SCS level","Heterosexual / straight","145","[c]","105150","98300"
"Leaver CS","2023","50-59","SCS level","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","SCS level","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","SCS level","Unknown","70","[c]","110190","96280"
"Leaver CS","2023","50-59","SEO/HEO","Heterosexual / straight","1090","[c]","39660","38930"
"Leaver CS","2023","50-59","SEO/HEO","LGBO","40","[c]","39790","39360"
"Leaver CS","2023","50-59","SEO/HEO","Undeclared","170","[c]","39640","39250"
"Leaver CS","2023","50-59","SEO/HEO","Unknown","470","[c]","40210","40310"
"Leaver CS","2023","50-59","Unknown","Heterosexual / straight","240","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Unknown","100","[c]","43070","41880"
"Leaver CS","2023","60-64","AA/AO","Heterosexual / straight","1055","[c]","22620","21690"
"Leaver CS","2023","60-64","AA/AO","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","60-64","AA/AO","Undeclared","170","[c]","22550","21690"
"Leaver CS","2023","60-64","AA/AO","Unknown","635","[c]","22710","21690"
"Leaver CS","2023","60-64","EO","Heterosexual / straight","835","[c]","28780","28120"
"Leaver CS","2023","60-64","EO","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","60-64","EO","Undeclared","130","[c]","29400","28120"
"Leaver CS","2023","60-64","EO","Unknown","380","[c]","29530","28120"
"Leaver CS","2023","60-64","G6/G7","Heterosexual / straight","450","[c]","63780","61920"
"Leaver CS","2023","60-64","G6/G7","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","60-64","G6/G7","Undeclared","65","[c]","64840","61440"
"Leaver CS","2023","60-64","G6/G7","Unknown","225","[c]","62740","61600"
"Leaver CS","2023","60-64","SCS level","Heterosexual / straight","90","[c]","107660","99200"
"Leaver CS","2023","60-64","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","SCS level","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","SCS level","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","60-64","SEO/HEO","Heterosexual / straight","815","[c]","39570","38470"
"Leaver CS","2023","60-64","SEO/HEO","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","60-64","SEO/HEO","Undeclared","140","[c]","40310","39420"
"Leaver CS","2023","60-64","SEO/HEO","Unknown","425","[c]","40450","39890"
"Leaver CS","2023","60-64","Unknown","Heterosexual / straight","150","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","Unknown","85","[c]","47080","38730"
"Leaver CS","2023","65+","AA/AO","Heterosexual / straight","1220","[c]","22260","21690"
"Leaver CS","2023","65+","AA/AO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","65+","AA/AO","Undeclared","205","[c]","22360","21690"
"Leaver CS","2023","65+","AA/AO","Unknown","655","[c]","23110","21880"
"Leaver CS","2023","65+","EO","Heterosexual / straight","710","[c]","28850","28120"
