"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Mixed","Cabinet Office","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","South East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","South East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","South West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","South West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Cabinet Office","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","North East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","North East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Chancellor's other departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","South West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","South West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Charity Commission","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Competition and Markets Authority","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","East of England","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","East of England","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","London","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","London","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","North East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","North East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","South East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","South East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","South West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","South West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Digital, Culture, Media and Sport","London","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Digital, Culture, Media and Sport","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","East of England","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","East of England","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","North East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","North East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","South East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","South East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","South West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","South West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Education","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","East of England","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","East of England","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","London","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","London","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","North East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","North East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","South East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","South East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","South West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","South West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","London","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","London","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","North East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","North East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","South East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","South East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","South West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","South West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for International Trade","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","East of England","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","East of England","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","North East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","North East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","South East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","South East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","South West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","South West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","East of England","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","East of England","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","North East (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","North East (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","North West (England)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","North West (England)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Department for Transport","Scotland","Male","[c]","[c]","[c]","[c]"
