"Status","Year","Age","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Commercial","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Digital, Data & Technology","15","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Finance","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Human Resources","15","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","No function","155","[c]","36440","28120"
"Leaver Dept.","2023","40-49","Declared disabled","White","Project Delivery","15","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Property","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared disabled","White","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Analysis","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Digital, Data & Technology","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Finance","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Human Resources","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","No function","150","[c]","36760","31550"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Finance","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Human Resources","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Legal","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","No function","65","[c]","33890","30630"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Black","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","No function","25","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","No function","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","No function","25","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Digital, Data & Technology","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","No function","25","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Analysis","25","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Commercial","30","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Communications","35","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Counter Fraud","20","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Debt","20","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Digital, Data & Technology","100","[c]","47300","43650"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Finance","55","[c]","48740","38470"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Grants Management","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Human Resources","95","[c]","42110","37840"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Legal","30","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","No function","890","[c]","39890","31660"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Project Delivery","55","[c]","49430","43980"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Property","25","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Security","25","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Declared non-disabled","White","Unknown","55","[c]","44860","39150"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","No function","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","Digital, Data & Technology","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","No function","25","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Unknown","No function","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Finance","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Human Resources","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","No function","40","[c]","35820","29970"
"Leaver Dept.","2023","40-49","Undeclared","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Digital, Data & Technology","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","No function","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","No function","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
