"Status","Year","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Intelligence Analysis","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","Westminster","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","Westminster","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Berkshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Berkshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Birmingham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Birmingham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Croydon","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Croydon","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Devon CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Devon CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Glasgow City","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Glasgow City","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Leeds","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Leeds","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Liverpool","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Liverpool","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Manchester","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Manchester","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Milton Keynes","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Milton Keynes","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Monmouthshire and Newport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","North Hampshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","North Hampshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Nottingham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Nottingham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Plymouth","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Plymouth","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Portsmouth","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Portsmouth","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Sefton","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Sefton","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Sheffield","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Sheffield","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Southampton","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Southampton","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Southend-on-Sea","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Southend-on-Sea","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Staffordshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Staffordshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Telford and Wrekin","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Telford and Wrekin","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Tyneside","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Tyneside","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Westminster","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Westminster","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Wiltshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Wiltshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Belfast","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Belfast","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Birmingham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Birmingham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Croydon","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Croydon","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Darlington","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Darlington","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Leeds","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Leeds","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Manchester","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Manchester","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Nottingham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Nottingham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Overseas","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","South Hampshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","South Hampshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","West Surrey","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","West Surrey","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","Westminster","Female","30","[c]","50680","51710"
"Leaver CS","2023","International Trade","Westminster","Male","40","[c]","46510","45350"
"Leaver CS","2023","Knowledge and Information Management","Bedford","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Bedford","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Berkshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Berkshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Clackmannanshire and Fife","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Clackmannanshire and Fife","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Croydon","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Croydon","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Darlington","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Darlington","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Devon CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Devon CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Dorset","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Dorset","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","East Riding of Yorkshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Glasgow City","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Glasgow City","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Herefordshire, County of","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Herefordshire, County of","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Hounslow and Richmond upon Thames","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Hounslow and Richmond upon Thames","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Leeds","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Leeds","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Lincolnshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Lincolnshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Milton Keynes","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Milton Keynes","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Monmouthshire and Newport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","North Hampshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","North Hampshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","North Yorkshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","North Yorkshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Northumberland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Northumberland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Nottingham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Nottingham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Portsmouth","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Portsmouth","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Sefton","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Sefton","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Sheffield","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Sheffield","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Somerset CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Somerset CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","South Hampshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","South Hampshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Southend-on-Sea","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Southend-on-Sea","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Staffordshire CC","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Staffordshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Tyneside","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Tyneside","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","West Essex","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","West Essex","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","West Surrey","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","West Surrey","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Westminster","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Westminster","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Wiltshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","Wiltshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bedford","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bedford","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Belfast","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Belfast","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Berkshire","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Berkshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Birmingham","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Birmingham","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Blackburn with Darwen","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Blackburn with Darwen","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Brent","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Brent","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bristol, City of","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Bristol, City of","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Cardiff and Vale of Glamorgan","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Cardiff and Vale of Glamorgan","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","City of Edinburgh","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Clackmannanshire and Fife","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Clackmannanshire and Fife","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Coventry","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Coventry","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Croydon","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Croydon","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Darlington","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Darlington","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Derby","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Derby","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Devon CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Devon CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Dorset","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Dorset","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Dudley","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Dudley","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Durham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Durham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Cumbria","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Cumbria","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Kent","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","East Kent","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Falkirk","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Falkirk","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Glasgow City","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Glasgow City","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Gloucestershire CC","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Gloucestershire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Greater Manchester South West","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Greater Manchester South West","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Gwent Valleys","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Gwent Valleys","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Gwynedd","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Gwynedd","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Hackney and Newham","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Hackney and Newham","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Heart of Essex","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Herefordshire, County of","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Herefordshire, County of","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Hounslow and Richmond upon Thames","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Hounslow and Richmond upon Thames","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Inverclyde, East Renfrewshire, and Renfrewshire","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Inverclyde, East Renfrewshire, and Renfrewshire","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Kingston upon Hull, City of","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Kingston upon Hull, City of","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Lambeth","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Lambeth","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Leeds","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Leeds","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Leicester","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Leicester","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Lincolnshire CC","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Lincolnshire CC","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Liverpool","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Liverpool","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Manchester","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Manchester","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Medway","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Medway","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
