"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Declared disabled","Debt","London","Outer London - South","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","North East (England)","Northumberland, and Tyne and Wear","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","North West (England)","Merseyside","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Scotland","Eastern Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Scotland","Highlands and Islands","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Scotland","Southern Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Wales","East Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Wales","West Wales and The Valleys","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","West Midlands (England)","West Midlands","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Yorkshire and The Humber","South Yorkshire","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Yorkshire and The Humber","West Yorkshire","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","East of England","East Anglia","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","East of England","Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Inner London - East","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Inner London - West","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Outer London - South","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","North East (England)","Northumberland, and Tyne and Wear","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","North West (England)","Greater Manchester","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","North West (England)","Lancashire","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
