"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","10","10","31690","28800"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Scotland","Eastern Scotland","City of Edinburgh","60","60","41920","38170"
"In post","2023","Commercial","Scotland","Eastern Scotland","Clackmannanshire and Fife","15","10","35610","32800"
"In post","2023","Commercial","Scotland","Eastern Scotland","Falkirk","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Eastern Scotland","Perth and Kinross, and Stirling","15","10","35270","28490"
"In post","2023","Commercial","Scotland","Eastern Scotland","West Lothian","10","10","37510","42590"
"In post","2023","Commercial","Scotland","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","South Lanarkshire","65","65","50440","49230"
"In post","2023","Commercial","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","15","10","34720","31920"
"In post","2023","Commercial","Scotland","West Central Scotland","Glasgow City","185","180","42280","36540"
"In post","2023","Commercial","Scotland","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","West Central Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","15","15","41870","39240"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","65","65","41140","43000"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","70","70","46960","41890"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","35","30","40880","34300"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","Central Hampshire","200","190","42620","39890"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","North Hampshire","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","Portsmouth","65","60","40350","35800"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","South Hampshire","20","20","49250","43000"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","Southampton","20","20","40770","40370"
"In post","2023","Commercial","South East (England)","Kent","East Kent","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
